ocid,id,date,buyer_id,buyer_name,contracts_id,contracts_status,contracts_awardID,contracts_value_amount,contracts_value_currency,contracts_dateSigned,planning_budget_amount
ocds-5wno2w-CE-20200001858568-410205,CE-20200001858568-410205-2021-11-23T08:24:18.822Z,2020-05-26T00:00:00-05:00,EC-RUC-1768164650001,EMPRESA PÚBLICA METROPOLITANA METRO DE QUITO,CE-20200001858568-contract,terminated,CE-20200001858568,,,,
ocds-5wno2w-CE-20200001858569-889479,CE-20200001858569-889479-2021-11-23T08:24:18.863Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858569-contract,active,CE-20200001858569,,,,
ocds-5wno2w-CE-20200001858570-889479,CE-20200001858570-889479-2021-11-23T08:24:18.901Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858570-contract,terminated,CE-20200001858570,,,,
ocds-5wno2w-CE-20200001858571-889479,CE-20200001858571-889479-2021-11-23T08:24:18.922Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858571-contract,terminated,CE-20200001858571,,,,
ocds-5wno2w-CE-20200001858572-889479,CE-20200001858572-889479-2021-11-23T08:24:18.944Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858572-contract,terminated,CE-20200001858572,,,,
ocds-5wno2w-CE-20200001858573-889479,CE-20200001858573-889479-2021-11-23T08:24:18.967Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858573-contract,terminated,CE-20200001858573,,,,
ocds-5wno2w-CE-20200001858574-889479,CE-20200001858574-889479-2021-11-23T08:24:18.989Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858574-contract,active,CE-20200001858574,,,,
ocds-5wno2w-CE-20200001858575-889479,CE-20200001858575-889479-2021-11-23T08:24:19.023Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858575-contract,active,CE-20200001858575,,,,
ocds-5wno2w-CE-20200001858576-889479,CE-20200001858576-889479-2021-11-23T08:24:19.051Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858576-contract,active,CE-20200001858576,,,,
ocds-5wno2w-CE-20200001858580-889479,CE-20200001858580-889479-2021-11-23T08:24:19.078Z,2020-05-26T00:00:00-05:00,EC-RUC-1360086920001,HOSPITAL DE ESPECIALIDADES PORTOVIEJO,CE-20200001858580-contract,terminated,CE-20200001858580,,,,
ocds-5wno2w-CE-20200001858581-110960,CE-20200001858581-110960-2021-11-23T08:24:19.106Z,2020-05-26T00:00:00-05:00,EC-RUC-0360018360001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL SAN FRANCISCO DE GUALLETURO,CE-20200001858581-contract,terminated,CE-20200001858581,,,,
ocds-5wno2w-CE-20200001858582-141370,CE-20200001858582-141370-2021-11-23T08:24:19.127Z,2020-05-26T00:00:00-05:00,EC-RUC-0860038720001,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA LA UNION,CE-20200001858582-contract,terminated,CE-20200001858582,,,,
ocds-5wno2w-CE-20200001858583-141370,CE-20200001858583-141370-2021-11-23T08:24:19.161Z,2020-05-26T00:00:00-05:00,EC-RUC-0860038720001,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA LA UNION,CE-20200001858583-contract,terminated,CE-20200001858583,,,,
ocds-5wno2w-CE-20200001858584-141370,CE-20200001858584-141370-2021-11-23T08:24:19.193Z,2020-05-26T00:00:00-05:00,EC-RUC-0860038720001,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA LA UNION,CE-20200001858584-contract,terminated,CE-20200001858584,,,,
ocds-5wno2w-CE-20200001858585-141370,CE-20200001858585-141370-2021-11-23T08:24:19.222Z,2020-05-26T00:00:00-05:00,EC-RUC-0860038720001,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA LA UNION,CE-20200001858585-contract,terminated,CE-20200001858585,,,,
ocds-5wno2w-CE-20200001858586-141370,CE-20200001858586-141370-2021-11-23T08:24:19.258Z,2020-05-26T00:00:00-05:00,EC-RUC-0860038720001,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA LA UNION,CE-20200001858586-contract,terminated,CE-20200001858586,,,,
ocds-5wno2w-CE-20200001858587-141370,CE-20200001858587-141370-2021-11-23T08:24:19.300Z,2020-05-26T00:00:00-05:00,EC-RUC-0860038720001,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA LA UNION,CE-20200001858587-contract,terminated,CE-20200001858587,,,,
ocds-5wno2w-CE-20200001858588-141370,CE-20200001858588-141370-2021-11-23T08:24:19.339Z,2020-05-26T00:00:00-05:00,EC-RUC-0860038720001,GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA LA UNION,CE-20200001858588-contract,terminated,CE-20200001858588,,,,
ocds-5wno2w-CE-20200001858589-140772,CE-20200001858589-140772-2021-11-23T08:24:19.376Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858589-contract,terminated,CE-20200001858589,,,,
ocds-5wno2w-CE-20200001858590-140772,CE-20200001858590-140772-2021-11-23T08:24:19.426Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858590-contract,terminated,CE-20200001858590,,,,
ocds-5wno2w-CE-20200001858591-140772,CE-20200001858591-140772-2021-11-23T08:24:19.466Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858591-contract,terminated,CE-20200001858591,,,,
ocds-5wno2w-CE-20200001858592-140772,CE-20200001858592-140772-2021-11-23T08:24:19.504Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858592-contract,terminated,CE-20200001858592,,,,
ocds-5wno2w-CE-20200001858593-140772,CE-20200001858593-140772-2021-11-23T08:24:19.544Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858593-contract,terminated,CE-20200001858593,,,,
ocds-5wno2w-CE-20200001858594-140772,CE-20200001858594-140772-2021-11-23T08:24:19.583Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858594-contract,terminated,CE-20200001858594,,,,
ocds-5wno2w-CE-20200001858595-140772,CE-20200001858595-140772-2021-11-23T08:24:19.621Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858595-contract,terminated,CE-20200001858595,,,,
ocds-5wno2w-CE-20200001858596-140772,CE-20200001858596-140772-2021-11-23T08:24:19.660Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858596-contract,terminated,CE-20200001858596,,,,
ocds-5wno2w-CE-20200001858597-140772,CE-20200001858597-140772-2021-11-23T08:24:19.698Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858597-contract,terminated,CE-20200001858597,,,,
ocds-5wno2w-CE-20200001858598-140772,CE-20200001858598-140772-2021-11-23T08:24:19.736Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858598-contract,terminated,CE-20200001858598,,,,
ocds-5wno2w-CE-20200001858599-140772,CE-20200001858599-140772-2021-11-23T08:24:19.775Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858599-contract,terminated,CE-20200001858599,,,,
ocds-5wno2w-CE-20200001858600-140772,CE-20200001858600-140772-2021-11-23T08:24:19.814Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858600-contract,terminated,CE-20200001858600,,,,
ocds-5wno2w-CE-20200001858601-140772,CE-20200001858601-140772-2021-11-23T08:24:19.851Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858601-contract,terminated,CE-20200001858601,,,,
ocds-5wno2w-CE-20200001858602-140772,CE-20200001858602-140772-2021-11-23T08:24:19.889Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858602-contract,terminated,CE-20200001858602,,,,
ocds-5wno2w-CE-20200001858603-140772,CE-20200001858603-140772-2021-11-23T08:24:19.928Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858603-contract,terminated,CE-20200001858603,,,,
ocds-5wno2w-CE-20200001858604-140772,CE-20200001858604-140772-2021-11-23T08:24:19.968Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858604-contract,terminated,CE-20200001858604,,,,
ocds-5wno2w-CE-20200001858605-140772,CE-20200001858605-140772-2021-11-23T08:24:20.018Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858605-contract,terminated,CE-20200001858605,,,,
ocds-5wno2w-CE-20200001858606-140772,CE-20200001858606-140772-2021-11-23T08:24:20.060Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858606-contract,terminated,CE-20200001858606,,,,
ocds-5wno2w-CE-20200001858607-140772,CE-20200001858607-140772-2021-11-23T08:24:20.099Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858607-contract,terminated,CE-20200001858607,,,,
ocds-5wno2w-CE-20200001858608-140772,CE-20200001858608-140772-2021-11-23T08:24:20.137Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858608-contract,terminated,CE-20200001858608,,,,
ocds-5wno2w-CE-20200001858609-140772,CE-20200001858609-140772-2021-11-23T08:24:20.175Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858609-contract,terminated,CE-20200001858609,,,,
ocds-5wno2w-CE-20200001858610-140772,CE-20200001858610-140772-2021-11-23T08:24:20.213Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858610-contract,terminated,CE-20200001858610,,,,
ocds-5wno2w-CE-20200001858611-140772,CE-20200001858611-140772-2021-11-23T08:24:20.251Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858611-contract,terminated,CE-20200001858611,,,,
ocds-5wno2w-CE-20200001858633-35516,CE-20200001858633-35516-2021-11-23T08:24:21.050Z,2020-05-26T00:00:00-05:00,EC-RUC-1760002360001,CONTRALORIA GENERAL DEL ESTADO,CE-20200001858633-contract,terminated,CE-20200001858633,,,,
ocds-5wno2w-CE-20200001858612-140772,CE-20200001858612-140772-2021-11-23T08:24:20.290Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858612-contract,terminated,CE-20200001858612,,,,
ocds-5wno2w-CE-20200001858613-140772,CE-20200001858613-140772-2021-11-23T08:24:20.328Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858613-contract,terminated,CE-20200001858613,,,,
ocds-5wno2w-CE-20200001858614-140772,CE-20200001858614-140772-2021-11-23T08:24:20.366Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858614-contract,terminated,CE-20200001858614,,,,
ocds-5wno2w-CE-20200001858615-103154,CE-20200001858615-103154-2021-11-23T08:24:20.405Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858615-contract,terminated,CE-20200001858615,,,,
ocds-5wno2w-CE-20200001858616-103154,CE-20200001858616-103154-2021-11-23T08:24:20.454Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858616-contract,terminated,CE-20200001858616,,,,
ocds-5wno2w-CE-20200001858617-103154,CE-20200001858617-103154-2021-11-23T08:24:20.495Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858617-contract,terminated,CE-20200001858617,,,,
ocds-5wno2w-CE-20200001858618-103154,CE-20200001858618-103154-2021-11-23T08:24:20.533Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858618-contract,terminated,CE-20200001858618,,,,
ocds-5wno2w-CE-20200001858619-103154,CE-20200001858619-103154-2021-11-23T08:24:20.570Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858619-contract,terminated,CE-20200001858619,,,,
ocds-5wno2w-CE-20200001858620-103154,CE-20200001858620-103154-2021-11-23T08:24:20.609Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858620-contract,terminated,CE-20200001858620,,,,
ocds-5wno2w-CE-20200001858621-103154,CE-20200001858621-103154-2021-11-23T08:24:20.646Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858621-contract,terminated,CE-20200001858621,,,,
ocds-5wno2w-CE-20200001858622-103154,CE-20200001858622-103154-2021-11-23T08:24:20.683Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858622-contract,terminated,CE-20200001858622,,,,
ocds-5wno2w-CE-20200001858623-103154,CE-20200001858623-103154-2021-11-23T08:24:20.719Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858623-contract,terminated,CE-20200001858623,,,,
ocds-5wno2w-CE-20200001858624-103154,CE-20200001858624-103154-2021-11-23T08:24:20.755Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858624-contract,terminated,CE-20200001858624,,,,
ocds-5wno2w-CE-20200001858625-103154,CE-20200001858625-103154-2021-11-23T08:24:20.792Z,2020-05-26T00:00:00-05:00,EC-RUC-1768020060001,GRUPO DE FUERZAS ESPECIALES NO.53 RAYO,CE-20200001858625-contract,terminated,CE-20200001858625,,,,
ocds-5wno2w-CE-20200001858626-33965,CE-20200001858626-33965-2021-11-23T08:24:20.824Z,2020-05-26T00:00:00-05:00,EC-RUC-0760013910001,DIRECCIÓN CJ EL ORO,CE-20200001858626-contract,terminated,CE-20200001858626,,,,
ocds-5wno2w-CE-20200001858627-33965,CE-20200001858627-33965-2021-11-23T08:24:20.858Z,2020-05-26T00:00:00-05:00,EC-RUC-0760013910001,DIRECCIÓN CJ EL ORO,CE-20200001858627-contract,terminated,CE-20200001858627,,,,
ocds-5wno2w-CE-20200001858628-33965,CE-20200001858628-33965-2021-11-23T08:24:20.887Z,2020-05-26T00:00:00-05:00,EC-RUC-0760013910001,DIRECCIÓN CJ EL ORO,CE-20200001858628-contract,terminated,CE-20200001858628,,,,
ocds-5wno2w-CE-20200001858629-33965,CE-20200001858629-33965-2021-11-23T08:24:20.916Z,2020-05-26T00:00:00-05:00,EC-RUC-0760013910001,DIRECCIÓN CJ EL ORO,CE-20200001858629-contract,terminated,CE-20200001858629,,,,
ocds-5wno2w-CE-20200001858630-33965,CE-20200001858630-33965-2021-11-23T08:24:20.945Z,2020-05-26T00:00:00-05:00,EC-RUC-0760013910001,DIRECCIÓN CJ EL ORO,CE-20200001858630-contract,terminated,CE-20200001858630,,,,
ocds-5wno2w-CE-20200001858631-2753,CE-20200001858631-2753-2021-11-23T08:24:20.976Z,2020-05-26T00:00:00-05:00,EC-RUC-1160001480001,GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON ZAPOTILLO  ,CE-20200001858631-contract,terminated,CE-20200001858631,,,,
ocds-5wno2w-CE-20200001858632-35516,CE-20200001858632-35516-2021-11-23T08:24:21.010Z,2020-05-26T00:00:00-05:00,EC-RUC-1760002360001,CONTRALORIA GENERAL DEL ESTADO,CE-20200001858632-contract,terminated,CE-20200001858632,,,,
ocds-5wno2w-CE-20200001858634-35516,CE-20200001858634-35516-2021-11-23T08:24:21.085Z,2020-05-26T00:00:00-05:00,EC-RUC-1760002360001,CONTRALORIA GENERAL DEL ESTADO,CE-20200001858634-contract,terminated,CE-20200001858634,,,,
ocds-5wno2w-CE-20200001858635-35516,CE-20200001858635-35516-2021-11-23T08:24:21.121Z,2020-05-26T00:00:00-05:00,EC-RUC-1760002360001,CONTRALORIA GENERAL DEL ESTADO,CE-20200001858635-contract,terminated,CE-20200001858635,,,,
ocds-5wno2w-CE-20200001858636-35516,CE-20200001858636-35516-2021-11-23T08:24:21.155Z,2020-05-26T00:00:00-05:00,EC-RUC-1760002360001,CONTRALORIA GENERAL DEL ESTADO,CE-20200001858636-contract,terminated,CE-20200001858636,,,,
ocds-5wno2w-CE-20200001858637-35516,CE-20200001858637-35516-2021-11-23T08:24:21.190Z,2020-05-26T00:00:00-05:00,EC-RUC-1760002360001,CONTRALORIA GENERAL DEL ESTADO,CE-20200001858637-contract,terminated,CE-20200001858637,,,,
ocds-5wno2w-CE-20200001858707-140772,CE-20200001858707-140772-2021-11-23T08:24:21.226Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858707-contract,terminated,CE-20200001858707,,,,
ocds-5wno2w-CE-20200001858708-140772,CE-20200001858708-140772-2021-11-23T08:24:21.263Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858708-contract,terminated,CE-20200001858708,,,,
ocds-5wno2w-CE-20200001858709-140772,CE-20200001858709-140772-2021-11-23T08:24:21.301Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858709-contract,terminated,CE-20200001858709,,,,
ocds-5wno2w-CE-20200001858710-140772,CE-20200001858710-140772-2021-11-23T08:24:21.339Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858710-contract,terminated,CE-20200001858710,,,,
ocds-5wno2w-CE-20200001858711-140772,CE-20200001858711-140772-2021-11-23T08:24:21.377Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858711-contract,terminated,CE-20200001858711,,,,
ocds-5wno2w-CE-20200001858712-140772,CE-20200001858712-140772-2021-11-23T08:24:21.413Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858712-contract,terminated,CE-20200001858712,,,,
ocds-5wno2w-CE-20200001858713-140772,CE-20200001858713-140772-2021-11-23T08:24:21.451Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858713-contract,terminated,CE-20200001858713,,,,
ocds-5wno2w-CE-20200001858714-140772,CE-20200001858714-140772-2021-11-23T08:24:21.490Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858714-contract,terminated,CE-20200001858714,,,,
ocds-5wno2w-CE-20200001858715-140772,CE-20200001858715-140772-2021-11-23T08:24:21.526Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858715-contract,terminated,CE-20200001858715,,,,
ocds-5wno2w-CE-20200001858716-140772,CE-20200001858716-140772-2021-11-23T08:24:21.564Z,2020-05-26T00:00:00-05:00,EC-RUC-1768117060001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ALLURIQUIN ,CE-20200001858716-contract,terminated,CE-20200001858716,,,,
ocds-5wno2w-CE-20200001858717-122588,CE-20200001858717-122588-2021-11-23T08:24:21.596Z,2020-05-27T00:00:00-05:00,EC-RUC-0760005300001,HOSPITAL SAN VICENTE DE PAUL,CE-20200001858717-contract,terminated,CE-20200001858717,,,,
ocds-5wno2w-CE-20200001858718-122588,CE-20200001858718-122588-2021-11-23T08:24:21.620Z,2020-05-27T00:00:00-05:00,EC-RUC-0760005300001,HOSPITAL SAN VICENTE DE PAUL,CE-20200001858718-contract,terminated,CE-20200001858718,,,,
ocds-5wno2w-CE-20200001858719-122588,CE-20200001858719-122588-2021-11-23T08:24:21.638Z,2020-05-27T00:00:00-05:00,EC-RUC-0760005300001,HOSPITAL SAN VICENTE DE PAUL,CE-20200001858719-contract,terminated,CE-20200001858719,,,,
ocds-5wno2w-CE-20200001858720-2728,CE-20200001858720-2728-2021-11-23T08:24:21.661Z,2020-05-27T00:00:00-05:00,EC-RUC-1865000750001,HOSPITAL DOCENTE DE AMBATO,CE-20200001858720-contract,terminated,CE-20200001858720,,,,
ocds-5wno2w-CE-20200001858721-2728,CE-20200001858721-2728-2021-11-23T08:24:21.718Z,2020-05-27T00:00:00-05:00,EC-RUC-1865000750001,HOSPITAL DOCENTE DE AMBATO,CE-20200001858721-contract,terminated,CE-20200001858721,,,,
ocds-5wno2w-CE-20200001858722-2728,CE-20200001858722-2728-2021-11-23T08:24:21.763Z,2020-05-27T00:00:00-05:00,EC-RUC-1865000750001,HOSPITAL DOCENTE DE AMBATO,CE-20200001858722-contract,terminated,CE-20200001858722,,,,
ocds-5wno2w-CE-20200001858723-2728,CE-20200001858723-2728-2021-11-23T08:24:21.794Z,2020-05-27T00:00:00-05:00,EC-RUC-1865000750001,HOSPITAL DOCENTE DE AMBATO,CE-20200001858723-contract,terminated,CE-20200001858723,,,,
