DESCRIPCION SECTOR,NOMBRE ENTIDAD
ADMINISTRACION DEL ESTADO,CP 16 COMANDO PROVINCIAL PASTAZA
ADMINISTRACION DEL ESTADO,CP 9 COMANDO PROVINCIAL TUNGURAHUA
ADMINISTRACION DEL ESTADO,ESCUELA DE FORMACION DE POLICIAS CABO SEGUNDO VICTOR HUGO USCA PACHACAMA
ADMINISTRACION DEL ESTADO,ESCUELA SAN MIGUEL DE BOLIVAR
ADMINISTRACION DEL ESTADO,EFP. CBOS. EDISON JAVIER ALMACHE QUEVEDO
ADMINISTRACION DEL ESTADO,EFP. SBOS. Rodrigo Amable Alquinga Concha
ADMINISTRACION DEL ESTADO,CP 6 COMANDO PROVINICAL AZUAY
ADMINISTRACION DEL ESTADO,CP 15 COMANDO PROVINCIAL CANAR
ADMINISTRACION DEL ESTADO,CP 17 COMANDO PROVINCIAL MORONA SANTIAGO
ADMINISTRACION DEL ESTADO,CP 18 COMANDO PROVINCIAL ZAMORA CHINCHIPE
ADMINISTRACION DEL ESTADO,UNIDAD EQUITACION Y REMONTA CUENCA CP-6
ADMINISTRACION DEL ESTADO,CP 7 COMANDO PROVINICAL LOJA
ADMINISTRACION DEL ESTADO,CP 2 COMANDO PROVINICAL GUAYAS
ADMINISTRACION DEL ESTADO,CP 19 COMANDO PROVINCIAL GALAPAGOS
ADMINISTRACION DEL ESTADO,CP 3 COMANDO PROVINCIAL EL ORO
ADMINISTRACION DEL ESTADO,CP 4 COMANDO PROVINCIAL MANABI
ADMINISTRACION DEL ESTADO,COMANDO CANTONAL DE POLICIA MANTA
ADMINISTRACION DEL ESTADO,CP 8 COMANDO PROVINCIAL LOS RIOS
ADMINISTRACION DEL ESTADO,SERVICIO RURAL LOS RIOS
ADMINISTRACION DEL ESTADO,ESCUELA FABIAN ARMIJOS JIMENEZ
ADMINISTRACION DEL ESTADO,ESCUELA DE POLICIA CABO SEGUNDO DE POLICIA SOCRATES MANRIQUE ARBOLEDA SANABRIA
ADMINISTRACION DEL ESTADO,EFP. SGOS. HECTOR FRANCISCO MONTUFAR HUILCA
ADMINISTRACION DEL ESTADO,ESCUELA GUSTAVO NOBOA
ADMINISTRACION DEL ESTADO,ESCUELA LIZANDRO HERRERA
ADMINISTRACION DEL ESTADO,ESCUELA J ROSERO LEON
ADMINISTRACION DEL ESTADO,ESCUELA ESTADO MAYOR
ADMINISTRACION DEL ESTADO,ESCUELA PERFECCIONAMIENTO OFICIALES
ADMINISTRACION DEL ESTADO,ESCUELA SUPERIOR DE  POLICIA GENERAL ALBERTO ENRIQUEZ GALLO
ADMINISTRACION DEL ESTADO,UNIDAD NACIONAL DE SERVICIOS ESPECIALIZADOS UNASE
ADMINISTRACION DEL ESTADO,SERVICIO AEROPOLICIAL QUITO
ADMINISTRACION DEL ESTADO,INSTITUTO DE ESTUDIOS HISTORICOS DE LA POLICIA NACIONAL
ADMINISTRACION DEL ESTADO,UNIDAD EQUITACION REMONTA QUITO 
ADMINISTRACION DEL ESTADO,UNIDAD PROTECCION MEDIO AMBIENTE UPMA
ADMINISTRACION DEL ESTADO,UNIDAD EQUITACION REMONTA GUAYAS
ADMINISTRACION DEL ESTADO,GRUPO DE INTERVENCION Y RESCATE GIR QUITO
ADMINISTRACION DEL ESTADO,GRUPO DE INTERVENCION Y RESCATE GIR GUAYAS
ADMINISTRACION DEL ESTADO,GRUPO DE INTERVENCION Y RESCATE GIR MANTA
ADMINISTRACION DEL ESTADO,GRUPO DE OPERACIONES ESPECIALES GOE QUITO
ADMINISTRACION DEL ESTADO,GRUPO DE OPERACIONES ESPECIALES GOE GUAYAS
ADMINISTRACION DEL ESTADO,COMANDO PROVINCIAL SANTA ELENA NO. 24
ADMINISTRACION DEL ESTADO,UNIDAD DE INVESTIGACIONES DE DELITOS ENERGETICOS E HIDROCARBURIFEROS
ADMINISTRACION DEL ESTADO,SUBDIRECCION DE INTELIGENCIA ANTIDELINCUENCIAL
ADMINISTRACION DEL ESTADO,DISTRITO METROPOLITANO DE GUAYAQUIL
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL DE DELITOS CONTRA LA VIDA MUERTES VIOLENTAS DESAPARICIONES EXTORSION Y SECUESTRO
ADMINISTRACION DEL ESTADO,COMANDANCIA GENERAL - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL DE LA POLICIA JUDICIAL
ADMINISTRACION DEL ESTADO,HOSPITAL QUITO No 1
ADMINISTRACION DEL ESTADO,HOSPITAL DE LA POLICIA NACIONAL GUAYAQUIL N. 2
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL DE SALUD DE LA POLICIA NACIONAL - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL DE LA SECRETARIA DE DERECHOS HUMANOS 3
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL DE LA SECRETARIA DE DERECHOS HUMANOS 1
ADMINISTRACION DEL ESTADO,SECRETARIA DE DERECHOS HUMANOS - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 3 - INEC
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 8 - INEC
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 6 - INEC
ADMINISTRACION DEL ESTADO,INSTITUTO NACIONAL DE ESTADISTICAS Y CENSOS - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL ZONA 8 - SECRETARIA TECNICA DE GESTION INMOBILIARIA DEL SECTOR PUBLICO
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL ZONA 4 - SECRETARIA TECNICA DE GESTION INMOBILIARIA DEL SECTOR PUBLICO
ADMINISTRACION DEL ESTADO,SECRETARIA TECNICA DE GESTION INMOBILIARIA DEL SECTOR PUBLICO
ADMINISTRACION DEL ESTADO,COMISION DE TRANSITO DEL ECUADOR - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,AGENCIA NACIONAL DE REGULACION Y CONTROL DEL TRANSPORTE TERRESTRE TRANSITO Y SEGURIDAD VIAL - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,PRIMERA DIVISION DE EJERCITO SHIRYS 
ADMINISTRACION DEL ESTADO,BRIGADA DE FUERZAS ESPECIALES No. 9 PATRIA 
ADMINISTRACION DEL ESTADO,GRUPO DE FUERZAS ESPECIALES NO. 26 - CENEPA
ADMINISTRACION DEL ESTADO,BRIGADA DE CABALLERIA BLINDADA No. 11 GALAPAGOS 
ADMINISTRACION DEL ESTADO,BRIGADA DE INFANTERIA No. 13 PICHINCHA 
ADMINISTRACION DEL ESTADO,IV D.E AMAZONAS
ADMINISTRACION DEL ESTADO,BRIGADA DE INFANTERIA No.31 ANDES
ADMINISTRACION DEL ESTADO,BRIGADA DE INFANTERIA No. 5 GUAYAS
ADMINISTRACION DEL ESTADO,GRUPO DE ARTILLERIA DE 105 MM No. 5 ATAHUALPA
ADMINISTRACION DEL ESTADO,GRUPO DE CABALLERIA BLINDADO No 12 TNTE. ORTIZ 
ADMINISTRACION DEL ESTADO,TERCERA DIVISION DE EJERCITO TARQUI 
ADMINISTRACION DEL ESTADO,BRIGADA DE INFANTERIA NO. 1 EL ORO
ADMINISTRACION DEL ESTADO,UNIDAD EDUCATIVA DE FUERZAS ARMADAS COLEGIO MILITAR No. 3 HEROES DEL 41
ADMINISTRACION DEL ESTADO,BRIGADA DE INFANTERIA No. 7 LOJA
ADMINISTRACION DEL ESTADO,UNIDAD EDUCATIVA DE FUERZAS ARMADAS COLEGIO MILITAR No. 4 ABDON CALDERON
ADMINISTRACION DEL ESTADO,BATALLON DE INFANTERIA No. 19 CARCHI 
ADMINISTRACION DEL ESTADO,BATALLON DE INFANTERIA No. 20 CAPT. DIAZ
ADMINISTRACION DEL ESTADO,BATALLON DE INFANTERIA No. 21 MACARA
ADMINISTRACION DEL ESTADO,GRUPO DE FUERZAS ESPECIALES NO. 53 RAYO
ADMINISTRACION DEL ESTADO,BRIGADA DE SELVA No. 17 PASTAZA
ADMINISTRACION DEL ESTADO,BRIGADA DE SELVA N19 NAPO
ADMINISTRACION DEL ESTADO,BATALLON DE SELVA No. 56 TUNGURAHUA
ADMINISTRACION DEL ESTADO,BATALLON DE OPERAC. ESPEC. DE SELVA No. 54 CAPT.CALLES
ADMINISTRACION DEL ESTADO,BRIGADA DE SELVA No. 21 CONDOR
ADMINISTRACION DEL ESTADO,BATALLON DE SELVA No. 62 ZAMORA
ADMINISTRACION DEL ESTADO,BATALLON DE SELVA No. 63 GUALAQUIZA
ADMINISTRACION DEL ESTADO,BATALLON DE INGENIEROS No. 67 MONTUFAR
ADMINISTRACION DEL ESTADO,BRIGADA DE AVIACION DEL EJERCITO No. 15 PAQUISHA
ADMINISTRACION DEL ESTADO,AGRUPAMIENTO DE COMUNICACIONES Y GUERRA ELECTRONICA DE LA FUERZA TERRESTRE
ADMINISTRACION DEL ESTADO,BRIGADA DE APOYO LOGISTICO No. 25 REINO DE QUITO
ADMINISTRACION DEL ESTADO,HOSPITAL BASICO 11 BCB GALAPAGOS 
ADMINISTRACION DEL ESTADO,HOSPITAL GENERAL II DE
ADMINISTRACION DEL ESTADO,HOSPITAL DE DIVISION III DE TARQUI
ADMINISTRACION DEL ESTADO,HOSPITAL DE BRIGADA N. 1 EL ORO
ADMINISTRACION DEL ESTADO,HOSPITAL BASICO 7 BI LOJA
ADMINISTRACION DEL ESTADO,HOSPITAL DE BRIGADA No. 17 PASTAZA
ADMINISTRACION DEL ESTADO,COMANDO DE EDUCACION Y DOCTRINA MILITAR TERRESTRE
ADMINISTRACION DEL ESTADO,UNIDAD EDUCATIVA DE FUERZAS ARMADAS COLEGIO MILITAR No. 1 ELOY ALFARO
ADMINISTRACION DEL ESTADO,ESCUELA SUPERIOR MILITAR ELOY ALFARO
ADMINISTRACION DEL ESTADO,ESCUELA DE FORMACION DE SOLDADOS DE LA F. T.
ADMINISTRACION DEL ESTADO,ESCUELA DE AVIACION DEL EJERCITO
ADMINISTRACION DEL ESTADO,HOSPITAL BASICO IV DE
ADMINISTRACION DEL ESTADO,BATALLON DE INFANTERIA MOTORIZADO NO.13 ESMERALDAS
ADMINISTRACION DEL ESTADO,FUERZA TERRESTRE DEL EJERCITO ECUATORIANO
ADMINISTRACION DEL ESTADO,ALA DE COMBATE NO. 31
ADMINISTRACION DEL ESTADO,ALA DE COMBATE No.22
ADMINISTRACION DEL ESTADO,BASE AEREA MARISCAL SUCRE BAMAS
ADMINISTRACION DEL ESTADO,BASE AEREA COTOPAXI
ADMINISTRACION DEL ESTADO,ALA DE COMBATE No.23
ADMINISTRACION DEL ESTADO,COMANDO DE EDUCACION Y DOCTRINA MILITAR AEROESPACIAL
ADMINISTRACION DEL ESTADO,ESCUELA TECNICA DE LA FUERZA AEREA
ADMINISTRACION DEL ESTADO,COMANDO DE OPERACIONES AEREAS Y DEFENSA
ADMINISTRACION DEL ESTADO,ESCUELA DE INFANTERIA AEREA EIA
ADMINISTRACION DEL ESTADO,ESCUELA SUPERIOR MILITAR DE AVIACION ESMA
ADMINISTRACION DEL ESTADO,ESCUELA DE PERFECCIONAMIENTO AEREOTECNICOS - FAE
ADMINISTRACION DEL ESTADO,FAE - CENTRO DE OPERACIONES SECTORIAL 1 COS.1
ADMINISTRACION DEL ESTADO,FAE - CENTRO DE OPERACIONES SECTORIAL 2 COS.2
ADMINISTRACION DEL ESTADO,ALA 21 DE COMBATE TAURA
ADMINISTRACION DEL ESTADO,DIRECCION DE LA ADMINISTRATIVA CENTRAL
ADMINISTRACION DEL ESTADO,BASE AEREA DE GALAPAGOS
ADMINISTRACION DEL ESTADO,ESCUELA DE ARTILLERIA ANTIAEREA CONJUNTA CORONEL OCTAVIO YCAZA
ADMINISTRACION DEL ESTADO,CENTRO DE INVESTIGACION Y DESARROLLO DE LA FUERZA AEREA ECUATORIANA CID
ADMINISTRACION DEL ESTADO,UNIDAD EDUCATIVA DE FUERZAS ARMADAS FAE No. 3 TAURA
ADMINISTRACION DEL ESTADO,FUERZA AEREA ECUATORIANA
ADMINISTRACION DEL ESTADO,ESTACION AERONAVAL GUAYAQUIL
ADMINISTRACION DEL ESTADO,BASE NAVAL DE SALINAS
ADMINISTRACION DEL ESTADO,BASE NAVAL DE JARAMIJO
ADMINISTRACION DEL ESTADO,ESTACION NAVAL DE SAN LORENZO
ADMINISTRACION DEL ESTADO,CENTRO TECNOLOGICO NAVAL
ADMINISTRACION DEL ESTADO,COMANDO DE GUARDACOSTAS
ADMINISTRACION DEL ESTADO,CAPITANIA DEL PUERTO DE ESMERALDAS
ADMINISTRACION DEL ESTADO,CAPITANIA DEL PUERTO DE GUAYAQUIL
ADMINISTRACION DEL ESTADO,CAPITANIA DEL PUERTO DE MANTA
ADMINISTRACION DEL ESTADO,CAPITANIA DEL PUERTO DE ORELLANA
ADMINISTRACION DEL ESTADO,CAPITANIA DEL PUERTO DE PTO. BOLIVAR
ADMINISTRACION DEL ESTADO,BASE NAVAL SAN EDUARDO
ADMINISTRACION DEL ESTADO,DIRECCION GENERAL DE INTERESES MARITIMOS
ADMINISTRACION DEL ESTADO,DIRECCION GENERAL DE TALENTO HUMANO
ADMINISTRACION DEL ESTADO,DIRECCION GENERAL DEL MATERIAL
ADMINISTRACION DEL ESTADO,UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL GUAYAQUIL COMANDANTE RAFAEL ANDRADE LALAMA
ADMINISTRACION DEL ESTADO,BASE NAVAL NORTE
ADMINISTRACION DEL ESTADO,DIRECCION DE SANIDAD DE LA ARMADA
ADMINISTRACION DEL ESTADO,DIRECCION DE VIVIENDA DE LA ARMADA
ADMINISTRACION DEL ESTADO,ESTACION NAVAL DE JAMBELI
ADMINISTRACION DEL ESTADO,ESTACION NAVAL DE QUITO
ADMINISTRACION DEL ESTADO,UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL QUITO COMANDANTE CESAR ENDARA PENAHERRERA
ADMINISTRACION DEL ESTADO,HOSPITAL NAVAL
ADMINISTRACION DEL ESTADO,ESTACION NAVAL CENTRO
ADMINISTRACION DEL ESTADO,BASE NAVAL SAN CRISTOBAL
ADMINISTRACION DEL ESTADO,SERVICIO DE DRAGAS
ADMINISTRACION DEL ESTADO,BASE NAVAL DE ESMERALDAS
ADMINISTRACION DEL ESTADO,HOSPITAL NAVAL DE ESMERALDAS 62 
ADMINISTRACION DEL ESTADO,ESTACION AERONAVAL DE MANTA (ESANMA)
ADMINISTRACION DEL ESTADO,ESCUELA DE LA MARINA MERCANTE NACIONAL
ADMINISTRACION DEL ESTADO,DIRECCION NACIONAL DE ESPACIOS ACUATICOS - DIRNEA
ADMINISTRACION DEL ESTADO,FUERZA NAVAL - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,DIRECCION DE MOVILIZACION DEL COMANDO CONJUNTO DE LAS FUERZAS ARMADAS
ADMINISTRACION DEL ESTADO,COMANDO DE INTELIGENCIA MILITAR CONJUNTO DE LAS FUERZAS ARMADAS
ADMINISTRACION DEL ESTADO,COMANDO CONJUNTO - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,MINISTERIO DE DEFENSA NACIONAL - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,INSTITUTO GEOGRAFICO MILITAR
ADMINISTRACION DEL ESTADO,HOSPITAL DE ESPECIALIDADES FUERZAS ARMADAS NO. 1
ADMINISTRACION DEL ESTADO,SECCION NACIONAL DEL ECUADOR DEL INSTITUTO PANAMERICANO DE GEOGRAFIA E HISTORIA
ADMINISTRACION DEL ESTADO,CUERPO DE INGENIEROS DEL EJERCITO - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,CASA MILITAR PRESIDENCIAL - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,AGENCIA DE REGULACION Y CONTROL DE LAS TELECOMUNICACIONES ARCOTEL
ADMINISTRACION DEL ESTADO,OPERADOR NACIONAL DE ELECTRICIDAD - CENACE - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,AUTORIDAD PORTUARIA DE PUERTO BOLIVAR
ADMINISTRACION DEL ESTADO,AUTORIDAD PORTUARIA DE ESMERALDAS
ADMINISTRACION DEL ESTADO,AUTORIDAD PORTUARIA DE GUAYAQUIL
ADMINISTRACION DEL ESTADO,AUTORIDAD PORTUARIA DE MANTA
ADMINISTRACION DEL ESTADO,AGENCIA DE REGULACION Y CONTROL DEL AGUA - PLANTA CENTRAL
ADMINISTRACION DEL ESTADO,CONSEJO NACIONAL PARA LA  IGUALDAD DE GENERO
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 6 DEL MINISTERIO DE RELACIONES EXTERIORES Y MOVILIDAD HUMANA
ADMINISTRACION DEL ESTADO,DIRECCION ZONAL 8 DEL MINISTERIO DE RELACIONES EXTERIORES Y MOVILIDAD HUMANA
ADMINISTRACION DEL ESTADO,COORDINACION ZONAL 1 DEL MINISTERIO DE RELACIONES EXTERIORES  Y MOVILIDAD HUMANA
