ocid,id,quantity,description,relatedLot,unit_id,unit_name,unit_scheme,unit_value_amount,unit_value_currency,classification_id,classification_scheme,classification_description,aditional_id,aditional_uri,aditional_scheme,aditional_description
ocds-5wno2w-011-MCO-GAMB-2019-20973,2918354-DS-SO,1,SERVICIOS DE CONSTRUCCION DE  DESAGUES,,436,Unidad,SERCOP,197808.08,USD,546220011,CPC,SERVICIOS DE CONSTRUCCION DE  DESAGUES,54622.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=54622.00.1,CPC,SERVICIOS DE CONSTRUCCION DE  DESAGUES
ocds-5wno2w-011-RE-GADMB-2019-20973,2935624-DS-SO,1,DIARIOS PROVINCIALES,,436,Unidad,SERCOP,15000.0,USD,836310112,CPC,SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS EN LOS PERIODICOS,83631.01.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83631.01.1,CPC,"SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS EN LOS PERIODICOS, REVISTAS,DIRECTAMENTE POR EL PUBLICADOR"
ocds-5wno2w-011-RE-GADPLR-2019-2805,2960476-DS-SO,1,"SERVICIO DE ORGANIZACIÓN DE EVENTOS CULTURALES, SOCIALES Y ARTISTICOS",,436,Unidad,SERCOP,35052.05,USD,962200561,CPC,SERVICIOS DE PRODUCCION DE EVENTOS,96220.05.6,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=96220.05.6,CPC,SERVICIOS DE PRODUCCION Y ANIMACION DE EVENTOS
ocds-5wno2w-012-MCO-GADMB-2019-20973,2924736-DS-SO,1,SERVICIOS DE CONSTRUCCION ( REFORMAS Y RENOVACION) EN EDIFICIOS RESIDENCIALES DE UNO O DOS VIVIENDAS.,,436,Unidad,SERCOP,20408.42,USD,541110014,CPC,SERVICIOS DE CONSTRUCCION ( REFORMAS Y RENOVACION) EN EDIFICIOS RESIDENCIALES DE UNO O DOS VIVIENDAS.,54111.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=54111.00.1,CPC,"SERVICIOS DE CONSTRUCCION (INCLUIDAS LAS OBRAS NUEVAS, AMPLIACIONES, REFORMAS Y RENOVACION) EN EDIFICIOS RESIDENCIALES DE UNO O DOS VIVIENDAS."
ocds-5wno2w-012-RE-GADMB-2019-20973,2935656-DS-SO,1,PERIDICO VIRTUAL,,436,Unidad,SERCOP,16800.0,USD,836320016,CPC,CONTRATACIÓN DE ESPACIOS PUBLICITARIOS PARA LOS ANUNCIOS DE RADIO Y TELEVISIÓN DEL CLIENTE EN LAS EMISORAS Y CANALES ELEGIDOS O SUGERIDOS POR LA AGENCIA,83632.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83632.00.1,CPC,SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS DE PUBLICIDAD EN RADIO Y TELEVISION  DIRECTAMENTE POR UNIDADES COMPROMETIDAS
ocds-5wno2w-012-SIE-GADMB-2019-20973,2929382-DS-SO,1,BATERIA 48 V,255498,436,Unidad,SERCOP,13481.96,USD,4642000111,CPC,BATERIA 48 V,46420.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=46420.00.1,CPC,ACUMULADORES ELECTRICOS O  BATERIAS 
ocds-5wno2w-013-MCO-GADMB-2019-20973,2974371-DS-SO,1,OTRAS OBRAS DE INGENIERIA CIVIL,,436,Unidad,SERCOP,29152.23,USD,532900011,CPC,OTRAS OBRAS DE INGENIERIA CIVIL,53290.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=53290.00.1,CPC,OTRAS OBRAS DE INGENIERIA CIVIL
ocds-5wno2w-013-RE-GADMB-2019-20973,2924058-DS-SO,1,REDES SAOCIALES PUBLICIDAD DEL GADMB,,436,Unidad,SERCOP,6000.0,USD,836330015,CPC,SERVICIOS DE LANZAMIENTO Y COSTOS OPERACIONALES BAJOS,83633.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83633.00.1,CPC,"SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIO O TIEMPO PARA ANUNCIOS DE PUBLICIDAD POR INTERNET REALIZADOS  DIRECTAMENTE POR LAS UNIDADES, PUBLICANDO EN PAGINAS WEB Y POR LOS ORGANIZADORES DE PROYECTOS."
ocds-5wno2w-013-SIE-GPLR-2019-2805,2985495-DS-SO,1,SERVICIOS DE TRAFICO DE INTERNET AL PORTADOR POR UN ISP (PROVEDOR DE SERVICIOS DE INTERNET) PARA OTRO ISP (PROVEEDOR DE SERVICIOS DE INTERNET) (GENERALMENTE CONOCIDO EN LA INDUSTRIA COMO CARGA EN TRANSITO QUE SE COBRA O RECARGA. ,263961,436,Unidad,SERCOP,350160.0,USD,842100011,CPC,SERVICIOS DE TRAFICO DE INTERNET AL PORTADOR POR UN ISP (PROVEDOR DE SERVICIOS DE INTERNET) PARA OTRO ISP (PROVEEDOR DE SERVICIOS DE INTERNET) (GENERALMENTE CONOCIDO EN LA INDUSTRIA COMO CARGA EN TRANSITO QUE SE COBRA O RECARGA. ,84210.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=84210.00.1,CPC,SERVICIOS DE TRAFICO DE INTERNET AL PORTADOR POR UN ISP (PROVEDOR DE SERVICIOS DE INTERNET) PARA OTRO ISP (PROVEEDOR DE SERVICIOS DE INTERNET) (GENERALMENTE CONOCIDO EN LA INDUSTRIA COMO CARGA EN TRANSITO QUE SE COBRA O RECARGA. 
ocds-5wno2w-014-RE-GADMB-2019-20973,2935695-DS-SO,1,ESPACIO PUBLICITARIO EN BANNER FIJO,,436,Unidad,SERCOP,6000.0,USD,836390012,CPC,SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIOS O TIEMPOS PARA ANUNCIOS DE PUBLICIDAD  EN CARTELERAS,83639.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83639.00.1,CPC,"SERVICIOS DE VENTA O ARRENDAMIENTO DE OTROS ESPACIOS O TIEMPOS PARA ANUNCIOS DE PUBLICIDAD  COMO CARTELERAS, EDIFICIOS, VEHICULOS, ETC, REALIZADOS DIRECTAMENTE POR EL DUENO."
ocds-5wno2w-MCO-GADCQ-004-2019-54302,2912238-DS-SO,1,CONSTRUCCION  DE CUBIERTAS DE ESTRUCTURA METALICA Y POLICARBONATO,,436,Unidad,SERCOP,59415.7643,USD,544000112,CPC,CONSTRUCCION  DE CUBIERTAS DE ESTRUCTURA METALICA Y POLICARBONATO,54400.01.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=54400.01.1,CPC,"SERVICIOS DE INSTALACION, ENSAMBLAJE Y MONTAJE DE ESTRUCTURAS METALICAS PREFABRICADAS"
ocds-5wno2w-016-RE-GADMB-2019-20973,2935581-DS-SO,1,EVENTOS ARTISTICOS CULTURALES TURISTICOS,,436,Unidad,SERCOP,54116.4,USD,962200211,CPC,SERVICIOS DE PRODUCCION Y PRESENTACION PARA REPRESENTACIONES ARTISTICAS LUZ Y SONIDO,96220.02.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=96220.02.1,CPC,SERVICIOS DE PRODUCCION Y PRESENTACION PARA REPRESENTACIONES ARTISTICAS LUZ Y SONIDO
ocds-5wno2w-017-RE-GADMB-2019-20973,2935608-DS-SO,1,EVENTOS PARQUE,,436,Unidad,SERCOP,25692.5,USD,963200012,CPC,SERVICIOS DE DISENADORES DE DECORADOS,96320.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=96320.00.1,CPC,"SERVICIOS DE DISENADORES DE DECORADOS, DISENADORES DE ESCENA, RESPONSABLES DE LA ILUMINACION, DISENADORES DE VESTUARIOS"
ocds-5wno2w-018-RE-GADMB-2019-20973,2958001-DS-SO,1,ACTUALIZACION DEL SISTEMA CONTABLE FINANCIERO OLYMPO,,436,Unidad,SERCOP,180000.0,USD,831600211,CPC,PRESTACION DE ASISTENCIA PARA MANTENER LOS SISTEMAS (PROGRAMAS) INFORMATICOS EN BUEN ESTADO DE FUNCIONAMIENTO. EL MANTENIMIENTO PUEDE SER CORRECTIVO O PREVENTIVO E INCLUIR SERVICIOS COMO LOS  SUMINISTRO DE MANUALES ACTUALIZADOS DE INSTRUCCIONES PARA EL US,83160.02.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83160.02.1,CPC,PRESTACION DE ASISTENCIA PARA MANTENER LOS SISTEMAS (PROGRAMAS) INFORMATICOS EN BUEN ESTADO DE FUNCIONAMIENTO. EL MANTENIMIENTO PUEDE SER CORRECTIVO O PREVENTIVO E INCLUIR SERVICIOS COMO LOS  SUMINISTRO DE MANUALES ACTUALIZADOS DE INSTRUCCIONES PARA EL US
ocds-5wno2w-01-CSV-CNEB-2019-101068,2922198-DS-SO,1,PUNTO DE SERVICIO INSTITUCIONAL  DE 24 HORAS PERMANENTE SIN ARMA,255256,436,Unidad,SERCOP,58886.1,USD,852500061,CPC,PUNTO DE SERVICIO INSTITUCIONAL  DE 24 HORAS PERMANENTE SIN ARMA,85250.00.6,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=85250.00.6,CPC,SERVICIO DE VIGILANCIA Y SEGURIDAD PRIVADA FIJA INSTITUCIONAL SIN ARMA
ocds-5wno2w-01-RE-CNE-DPSE-2019-47466,2772984-DS-SO,1,CORRESPONDENCIA PARA LA DELEGACION PROVINCIAL DE SANTA ELENA CNE,,436,Unidad,SERCOP,1203.57,USD,859500111,CPC,"SERVICIOS QUE CONSISTEN EN EL ENVIO DE MATERIAL (POR EJEMPLO MATERIAL PUBLICITARIO, MATERIAL INFORMATIVO U OTRO TIPO DE MATERIAL) CON LA ROTULACION, ENSOBRADO, SELLADO, FRANQUEO Y ENVIO POR CORREO",85950.01.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=85950.01.1,CPC,"SERVICIOS QUE CONSISTEN EN EL ENVIO DE MATERIAL (POR EJEMPLO MATERIAL PUBLICITARIO, MATERIAL INFORMATIVO U OTRO TIPO DE MATERIAL) CON LA ROTULACION, ENSOBRADO, SELLADO, FRANQUEO Y ENVIO POR CORREO"
ocds-5wno2w-01-RE-CTE-005-2019-R-388886,2841258-DS-SO,1,REVISAR TDR,,436,Unidad,SERCOP,18698.8,USD,342303016,CPC,METILENO CLORURO,34230.30.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=34230.30.1,CPC,"HALOGENUROS OXIHALOGENUROS Y OTROS COMPUESTOS HALOGENADOS DE ELEMENTOS NO METALICOS: CLORUROS, OXICLORUROS, BROMUROS, YODUROS, FLUORUROS, ETC."
ocds-5wno2w-020-RE-GADMB-2019-20973,2952271-DS-SO,1,ESPACIO PUBLICITARIO BANNER FIJO EN PAGINA WEB,,436,Unidad,SERCOP,6000.0,USD,836390012,CPC,SERVICIOS DE VENTA O ARRENDAMIENTO DE ESPACIOS O TIEMPOS PARA ANUNCIOS DE PUBLICIDAD  EN CARTELERAS,83639.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83639.00.1,CPC,"SERVICIOS DE VENTA O ARRENDAMIENTO DE OTROS ESPACIOS O TIEMPOS PARA ANUNCIOS DE PUBLICIDAD  COMO CARTELERAS, EDIFICIOS, VEHICULOS, ETC, REALIZADOS DIRECTAMENTE POR EL DUENO."
ocds-5wno2w-050455-115420,2922763-DS-SO,1,SERVICIOS DE ASISTENCIA OPERACIONALES DE ORIENTACION Y DE ASESORAMIENTO EN RELACION CON LA ESTRATEGIA Y NORMATIVA DE SOCIEDADES Y CON LA PLANIFICACION ESTRUCTURACION Y SUS ACTUACIONES DE CONSULTORIA EN MATERIA DE GESTION GENERAL INCLUYE LAS PLANES DE ESTR,,436,Unidad,SERCOP,22300.0,USD,831110211,CPC,SERVICIOS DE ASISTENCIA OPERACIONALES DE ORIENTACION Y DE ASESORAMIENTO EN RELACION CON LA ESTRATEGIA Y NORMATIVA DE SOCIEDADES Y CON LA PLANIFICACION ESTRUCTURACION Y SUS ACTUACIONES DE CONSULTORIA EN MATERIA DE GESTION GENERAL INCLUYE LAS PLANES DE ESTR,83111.02.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83111.02.1,CPC,SERVICIOS DE ASISTENCIA OPERACIONALES DE ORIENTACION Y DE ASESORAMIENTO EN RELACION CON LA ESTRATEGIA Y NORMATIVA DE SOCIEDADES Y CON LA PLANIFICACION ESTRUCTURACION Y SUS ACTUACIONES DE CONSULTORIA EN MATERIA DE GESTION GENERAL INCLUYE LAS PLANES DE ESTR
ocds-5wno2w-111157-129793,2857659-DS-SO,1,"SERVICIOS DE DELINEACION (PLANOS DETALLADOS, DIBUJOS, PLANOS E ILUSTRACIONES DE EDIFICIOS, ESTRUCTURAS, SISTEMAS O COMPONENTES DE ESPECIFICACIONES DE INGENIERIA Y ARQUITECTURA, HECHOS POR DELINEANTES DE ARQUITECTURA O TECNICOS DE INGENIERIA)",,436,Unidad,SERCOP,1500.0,USD,839900011,CPC,"SERVICIOS DE DELINEACION (PLANOS DETALLADOS, DIBUJOS, PLANOS E ILUSTRACIONES DE EDIFICIOS, ESTRUCTURAS, SISTEMAS O COMPONENTES DE ESPECIFICACIONES DE INGENIERIA Y ARQUITECTURA, HECHOS POR DELINEANTES DE ARQUITECTURA O TECNICOS DE INGENIERIA)",83990.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83990.00.1,CPC,"SERVICIOS DE DELINEACION (PLANOS DETALLADOS, DIBUJOS, PLANOS E ILUSTRACIONES DE EDIFICIOS, ESTRUCTURAS, SISTEMAS O COMPONENTES DE ESPECIFICACIONES DE INGENIERIA Y ARQUITECTURA, HECHOS POR DELINEANTES DE ARQUITECTURA O TECNICOS DE INGENIERIA)"
ocds-5wno2w-150254-116595,2982506-DS-SO,1,SERVICIOS DE ASISTENCIA OPERACIONALES DE ORIENTACION Y DE ASESORAMIENTO EN RELACION CON LA ESTRATEGIA Y NORMATIVA DE SOCIEDADES Y CON LA PLANIFICACION ESTRUCTURACION Y SUS ACTUACIONES DE CONSULTORIA EN MATERIA DE GESTION GENERAL INCLUYE ELABORACION DE PRO,,436,Unidad,SERCOP,30000.0,USD,831110711,CPC,SERVICIOS DE ASISTENCIA OPERACIONALES DE ORIENTACION Y DE ASESORAMIENTO EN RELACION CON LA ESTRATEGIA Y NORMATIVA DE SOCIEDADES Y CON LA PLANIFICACION ESTRUCTURACION Y SUS ACTUACIONES DE CONSULTORIA EN MATERIA DE GESTION GENERAL INCLUYE ELABORACION DE PRO,83111.07.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83111.07.1,CPC,SERVICIOS DE ASISTENCIA OPERACIONALES DE ORIENTACION Y DE ASESORAMIENTO EN RELACION CON LA ESTRATEGIA Y NORMATIVA DE SOCIEDADES Y CON LA PLANIFICACION ESTRUCTURACION Y SUS ACTUACIONES DE CONSULTORIA EN MATERIA DE GESTION GENERAL INCLUYE ELABORACION DE PRO
ocds-5wno2w-15D02-001-2019-RE-534506,2821893-DS-SO,1,CONTRATACIÓN DEL SERVICIO DE CORREOS PARA LAS UNIDADES EDUCATIVAS BACHILLERATO,,436,Unidad,SERCOP,1785.71,USD,681130011,CPC,"SERVICIOS DE ATENCION AL PUBLICO EN CORREOS, COMO LA VENTA DE SELLOS DE FRANQUEO, LA CERTIFICACION DE CORRESPONDENCIA Y PAQUETES Y OTROS SERVICIOS DE VENTANILLA PRESTADOS POR LAS OFICINAS DE CORREOS",68113.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=68113.00.1,CPC,"SERVICIOS DE ATENCION AL PUBLICO EN CORREOS, COMO LA VENTA DE SELLOS DE FRANQUEO, LA CERTIFICACION DE CORRESPONDENCIA Y PAQUETES Y OTROS SERVICIOS DE VENTANILLA PRESTADOS POR LAS OFICINAS DE CORREOS"
ocds-5wno2w-15D02-002-2019-RE-534506,2965017-DS-SO,1,RESOLUCION 091,,436,Unidad,SERCOP,13114.63,USD,713340011,CPC,"SERVICIOS DE CONCERTACION DE POLIZAS DE SEGURO QUE CUBRAN RIESGOS DE DANOS O PERDIDA DE BIENES, EXCLUIDOS LOS QUE ESTEN ABARCADOS EN LAS SUBCLASES 71331 (SERVICIOS DE SEGURO DE VEHICULOS DE MOTOR), 71332 (SERVICIOS DE SEGURO DE TRANSPORTE MARITIMO, AEREO ",71334.00.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=71334.00.1,CPC,"SERVICIOS DE CONCERTACION DE POLIZAS DE SEGURO QUE CUBRAN RIESGOS DE DANOS O PERDIDA DE BIENES, EXCLUIDOS LOS QUE ESTEN ABARCADOS EN LAS SUBCLASES 71331 (SERVICIOS DE SEGURO DE VEHICULOS DE MOTOR), 71332 (SERVICIOS DE SEGURO DE TRANSPORTE MARITIMO, AEREO "
ocds-5wno2w-180111-115948,2811549-DS-SO,1,FISCALIZACION DE OBRAS DE INGENIERIA CIVIL,,436,Unidad,SERCOP,7482.68,USD,839900111,CPC,FISCALIZACION DE OBRAS DE INGENIERIA CIVIL,83990.01.1,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=83990.01.1,CPC,FISCALIZACION DE OBRAS DE INGENIERIA 
ocds-5wno2w-BID-FERUM2-BOL-OB-11-462114,2936472-DS-SO,1,DE ACUERDO PLIEGOS,,436,Unidad,SERCOP,45580.11,USD,542900122,CPC,CONSTRUCCION DE REDES DE DISTRIBUCION,54290.01.2,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=54290.01.2,CPC,CONSTRUCCION DE LINEAS Y REDES DE DISTRIBUCION
ocds-5wno2w-BID-FERUM2-GLR-OB-29-462114,2983366-DS-SO,1,GLR - CONSTRUCCIÓN DE OBRAS ELÉCTRICAS DE DISTRIBUCIÓN EN MEDIA Y BAJA TENSIÓN:,,436,Unidad,SERCOP,191486.74,USD,542900122,CPC,CONSTRUCCION DE REDES DE DISTRIBUCION,54290.01.2,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=54290.01.2,CPC,CONSTRUCCION DE LINEAS Y REDES DE DISTRIBUCION
ocds-5wno2w-BID-FERUM2-STE-0B-06-462114,2957631-DS-SO,1,LA OBRA SE EJECUTARÁ DE CONFORMIDAD A LOS PLIEGOS,,52208,Global,SERCOP,239269.75,USD,542900122,CPC,CONSTRUCCION DE REDES DE DISTRIBUCION,54290.01.2,https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/exe/verComProductos_exe.php?tipo=buscar&idProducto=54290.01.2,CPC,CONSTRUCCION DE LINEAS Y REDES DE DISTRIBUCION
