ocid,id,quantity,description,unit_name,unit_scheme,unit_amount,unit_currency,classification_id,classification_scheme
ocds-5wno2w-CE-20200001858599-140772,11297-PE-C,12,MARCADOR TIZA LIQUIDA PUNTA GRUESA VARIOS COLORES*,,,0.53,USD,0,No Scheme
ocds-5wno2w-CE-20200001858600-140772,11274-PE-C,9,GRAPAS 26/6 CAJA DE 5000 U*,,,0.48,USD,0,No Scheme
ocds-5wno2w-CE-20200001858601-140772,11240-PE-C,5,"NOTAS ADHESIVAS CUBO DE 5 COLORES 3X3""*",,,2.4,USD,0,No Scheme
ocds-5wno2w-CE-20200001858602-140772,11191-PE-C,30,CD S GRABABLES SIN CAJA CD-R*,,,0.23,USD,0,No Scheme
ocds-5wno2w-CE-20200001858603-140772,11189-PE-C,4,CARTULINA A 4 VARIOS COLORES*,,,0.35,USD,0,No Scheme
ocds-5wno2w-CE-20200001858604-140772,11369-PE-C,10,SEÑALADORES TIPO BANDERITAS*,,,0.24,USD,0,No Scheme
ocds-5wno2w-CE-20200001858605-140772,11230-PE-C,6,ESTILETE GRANDE*,,,0.3,USD,0,No Scheme
ocds-5wno2w-CE-20200001858606-140772,11368-PE-C,15,SEPARADORES PLASTICOS A4 FUNDA NUMERICA 1-31*,,,1.83,USD,0,No Scheme
ocds-5wno2w-CE-20200001858607-140772,11203-PE-C,9,CLIPS STANDAR 32 MM METALICOS*,,,0.19,USD,0,No Scheme
ocds-5wno2w-CE-20200001858608-140772,11161-PE-C,50,ARCHIVADORES TAMANO OFICIO LOMO 4 CMS*,,,1.145,USD,0,No Scheme
ocds-5wno2w-CE-20200001858609-140772,11292-PE-C,3,MARCADOR PERMANENTE NEGRO PUNTA GRUESA*,,,0.54,USD,0,No Scheme
ocds-5wno2w-CE-20200001858610-140772,11291-PE-C,3,MARCADOR PERMANENTE AZUL PUNTA GRUESA*,,,0.44,USD,0,No Scheme
ocds-5wno2w-CE-20200001858611-140772,11337-PE-C,2,PARES DE PILAS AA RECARGABLE*,,,4.55,USD,0,No Scheme
ocds-5wno2w-CE-20200001858633-35516,12868-PE-C,25,PAPEL HIGIENICO JUMBO DOBLE HOJA BLANCO 250 METROS*,,,1.66,USD,0,No Scheme
ocds-5wno2w-CE-20200001858612-140772,11392-PE-C,4,TINTA PARA ALMOHADILLA Y SELLO AZUL / NEGRA / VIOLETA / ROJA*,,,0.24,USD,0,No Scheme
ocds-5wno2w-CE-20200001858613-140772,11300-PE-C,12,CINTA DE EMBALAJE TRANSPARENTE 2 PULGADAS X 40 YDAS*,,,0.27,USD,0,No Scheme
ocds-5wno2w-CE-20200001858614-140772,11320-PE-C,100,RESMA DE PAPEL BOND A4 DE 75 GR*,,,2.8,USD,0,No Scheme
ocds-5wno2w-CE-20200001858615-103154,11220-PE-C,60,ESFEROGRAFICO ROJO PUNTA FINA*,,,0.0881,USD,0,No Scheme
ocds-5wno2w-CE-20200001858616-103154,11216-PE-C,120,ESFEROGRAFICO AZUL PUNTA FINA*,,,0.0881,USD,0,No Scheme
ocds-5wno2w-CE-20200001858617-103154,11299-PE-C,30,CINTA ADHESIVA TRANSPARENTE 18 X 25 YDAS*,,,0.18,USD,0,No Scheme
ocds-5wno2w-CE-20200001858618-103154,11303-PE-C,30,MASKING DE 1 PULG. X 40 YARDAS MULTIUSO*,,,0.44,USD,0,No Scheme
ocds-5wno2w-CE-20200001858619-103154,11218-PE-C,60,ESFEROGRAFICO NEGRO PUNTA FINA*,,,0.0881,USD,0,No Scheme
ocds-5wno2w-CE-20200001858620-103154,11292-PE-C,30,MARCADOR PERMANENTE NEGRO PUNTA GRUESA*,,,0.54,USD,0,No Scheme
ocds-5wno2w-CE-20200001858621-103154,11368-PE-C,25,SEPARADORES PLASTICOS A4 FUNDA NUMERICA 1-31*,,,1.83,USD,0,No Scheme
ocds-5wno2w-CE-20200001858622-103154,11208-PE-C,50,CUADERNO ESPIRAL UNIVERSITARIO CUADROS 100 HOJAS*,,,0.7864,USD,0,No Scheme
ocds-5wno2w-CE-20200001858623-103154,11214-PE-C,10,DISPENSADOR DE CINTA PEQUEÑO*,,,1.1,USD,0,No Scheme
ocds-5wno2w-CE-20200001858624-103154,11291-PE-C,20,MARCADOR PERMANENTE AZUL PUNTA GRUESA*,,,0.44,USD,0,No Scheme
ocds-5wno2w-CE-20200001858625-103154,11297-PE-C,48,MARCADOR TIZA LIQUIDA PUNTA GRUESA VARIOS COLORES*,,,0.53,USD,0,No Scheme
ocds-5wno2w-CE-20200001858626-33965,11394-PE-C,585,VINCHAS METÁLICAS DE CARPETA CAJA DE 50 U*,,,0.99,USD,0,No Scheme
ocds-5wno2w-CE-20200001858627-33965,11216-PE-C,800,ESFEROGRAFICO AZUL PUNTA FINA*,,,0.0948,USD,0,No Scheme
ocds-5wno2w-CE-20200001858628-33965,11158-PE-C,250,ARCHIVADOR DE CARTON NO. 15 CON TAPA*,,,1.345,USD,0,No Scheme
ocds-5wno2w-CE-20200001858629-33965,11162-PE-C,250,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,,,1.0,USD,0,No Scheme
ocds-5wno2w-CE-20200001858630-33965,11320-PE-C,1660,RESMA DE PAPEL BOND A4 DE 75 GR*,,,2.495,USD,0,No Scheme
ocds-5wno2w-CE-20200001858631-2753,13363-PE-C,4,*NEUMATICO 235/75R15 109T TODA POSICION APLICACION REGIONAL,,,122.11,USD,36111002136,CPC
ocds-5wno2w-CE-20200001858632-35516,12889-PE-C,12,DESINFECTANTE AMONIO CUATERNARIO GALÓN*,,,3.8,USD,0,No Scheme
ocds-5wno2w-CE-20200001858634-35516,12894-PE-C,12,DESTAPADOR DE CAÑERIAS LITRO*,,,1.8,USD,0,No Scheme
ocds-5wno2w-CE-20200001858635-35516,12971-PE-C,45,JABÓN LÍQUIDO ESPUMA 500 ML*,,,3.395,USD,0,No Scheme
ocds-5wno2w-CE-20200001858636-35516,12878-PE-C,12,"CLORO LIQUIDO AL 5 POR CIENTO, GALÓN*",,,2.55,USD,0,No Scheme
ocds-5wno2w-CE-20200001858637-35516,12872-PE-C,60,PAPEL TOALLA DE MANOS BLANCO EN Z 150 UNIDADES*,,,1.4,USD,0,No Scheme
ocds-5wno2w-CE-20200001858707-140772,12956-PE-C,3,"HIPOCLORITO DE SODIO AL 10 POR CIENTO, GALON*",,,4.0218,USD,0,No Scheme
ocds-5wno2w-CE-20200001858708-140772,12932-PE-C,10,"FUNDA DE BASURA USO INDUSTRIAL NEGRA 35""X47""*",,,3.22,USD,0,No Scheme
ocds-5wno2w-CE-20200001858709-140772,12852-PE-C,6,ATOMIZADOR 500 CC*,,,1.2506,USD,0,No Scheme
ocds-5wno2w-CE-20200001858710-140772,12978-PE-C,3,TRAPEADOR REDONDO DE 24-30 CM*,,,2.88,USD,0,No Scheme
ocds-5wno2w-CE-20200001858711-140772,12868-PE-C,20,PAPEL HIGIENICO JUMBO DOBLE HOJA BLANCO 250 METROS*,,,2.2,USD,0,No Scheme
ocds-5wno2w-CE-20200001858712-140772,12879-PE-C,4,CEPILLO PARA SANITARIO CON BASE PLÁSTICA*,,,1.44,USD,0,No Scheme
ocds-5wno2w-CE-20200001858713-140772,12898-PE-C,1,DETERGENTE EN POLVO FUNDA DE 5 KG*,,,9.22,USD,0,No Scheme
ocds-5wno2w-CE-20200001858714-140772,12872-PE-C,10,PAPEL TOALLA DE MANOS BLANCO EN Z 150 UNIDADES*,,,1.4,USD,0,No Scheme
ocds-5wno2w-CE-20200001858715-140772,12963-PE-C,5,INSECTICIDA AEROSOL 400 CC,,,2.898,USD,0,No Scheme
ocds-5wno2w-CE-20200001858716-140772,12864-PE-C,5,PAÑO DE LIMPIEZA PARA SUPERFICIES 10 UNIDADES*,,,3.22,USD,0,No Scheme
ocds-5wno2w-CE-20200001858717-122588,7342-PE-C,1200,Ampicilina + Sulbactam,,,0.44,USD,3525011050,CPC
ocds-5wno2w-CE-20200001858718-122588,9114-PE-C,10000,"Sales de rehidratación oral: Glucosa, Cloruro de sodio, Cloruro de potasio, Citrato trisódico dihidrato",,,0.28,USD,3525011352,CPC
ocds-5wno2w-CE-20200001858719-122588,8717-PE-C,2000,Acetilcisteína,,,0.75,USD,3525011002,CPC
ocds-5wno2w-CE-20200001858720-2728,6097-PE-C,32,BUZO MANGA LARGA TIPO POLO,,,14.64,USD,881220011,CPC
ocds-5wno2w-CE-20200001858720-2728,6906-PE-C,22,PANTALÓN JEAN 14 ONZAS SIN CINTA REFLECTIVA,,,12.95,USD,881220014,CPC
ocds-5wno2w-CE-20200001858720-2728,7037-PE-C,200,CONJUNTO   DE   VESTIR  PARA  ENFERMERO/A   Y   TECNÓLOGO/A MÉDICO,,,23.17,USD,881220013,CPC
ocds-5wno2w-CE-20200001858721-2728,7480-PE-C,4,CHOMPA IMPERMEABLE CON CINTA REFLECTIVA,,,48.24,USD,881220014,CPC
ocds-5wno2w-CE-20200001858721-2728,9132-PE-C,68,CONJUNTO DE VESTIR PANTALÓN CON CAMISA O BLUSA,,,26.08,USD,881220011,CPC
ocds-5wno2w-CE-20200001858722-2728,9385-PE-C,228,CHOMPA IMPERMEABLE CON FORRO POLAR Y BORDADOS,,,28.79,USD,881220011,CPC
ocds-5wno2w-CE-20200001858723-2728,9134-PE-C,154,CONJUNTO DE VESTIR PARA AUXILIARES DE SERVICIOS DE SALUD,,,20.67,USD,881220013,CPC
ocds-5wno2w-CE-20200001858724-2728,8237-PE-C,8,Pantalón táctico para hombre,,,26.66,USD,2822113111,CPC
ocds-5wno2w-CE-20200001858725-2728,6082-PE-C,221,GORRA - GABARDINA,,,2.4,USD,881220011,CPC
ocds-5wno2w-CE-20200001858726-125146,12888-PE-C,120,DESINFECTANTE AMONIO CUATERNARIO CANECA*,,,16.5,USD,0,No Scheme
ocds-5wno2w-CE-20200001858727-125146,12954-PE-C,150,"HIPOCLORITO DE SODIO AL 10 POR CIENTO, CANECA*",,,17.0,USD,0,No Scheme
ocds-5wno2w-CE-20200001858728-125146,12963-PE-C,100,INSECTICIDA AEROSOL 400 CC,,,2.775,USD,0,No Scheme
ocds-5wno2w-CE-20200001858729-125146,12876-PE-C,120,"CLORO LIQUIDO AL 5 POR CIENTO, CANECA*",,,13.15,USD,0,No Scheme
ocds-5wno2w-CE-20200001858744-553435,6904-PE-C,35,CAMISA JEAN 7 ½ ONZAS CON CINTA REFLECTIVA DE 2”,,,15.67,USD,881220014,CPC
ocds-5wno2w-CE-20200001858744-553435,6906-PE-C,35,PANTALÓN JEAN 14 ONZAS SIN CINTA REFLECTIVA,,,12.95,USD,881220014,CPC
ocds-5wno2w-CE-20200001858745-553435,9132-PE-C,6,CONJUNTO DE VESTIR PANTALÓN CON CAMISA O BLUSA,,,26.08,USD,881220011,CPC
ocds-5wno2w-CE-20200001858746-553435,7037-PE-C,42,CONJUNTO   DE   VESTIR  PARA  ENFERMERO/A   Y   TECNÓLOGO/A MÉDICO,,,23.17,USD,881220013,CPC
ocds-5wno2w-CE-20200001858747-553435,7915-PE-C,18,PANTALON INDIGO CON CINTA REFLECTIVA,,,17.71,USD,881220014,CPC
ocds-5wno2w-CE-20200001858748-553435,6778-PE-C,30,CAMISETAS TIPO POLO MANGAS CORTAS-ÓRDENES DE COMPRA DE HASTA 660 UNIDADES,,,8.85,USD,881220011,CPC
ocds-5wno2w-CE-20200001858749-553435,13135-PE-C,2,ZAPATO DE HOMBRE DE CUERO TIPO MOCASÍN ENFERMERO U OFICINA,,,39.63,USD,293300029,CPC
ocds-5wno2w-CE-20200001858750-553435,13141-PE-C,2,ZAPATO DE HOMBRE DE CHAROL CON CORDONES TIPO OFICINA,,,39.41,USD,293300025,CPC
ocds-5wno2w-CE-20200001858750-553435,13145-PE-C,2,ZAPATO DE MUJER DE CUERO CON TACÓN TIPO OFICINA,,,32.8,USD,295201035,CPC
ocds-5wno2w-CE-20200001858751-125146,7347-PE-C,24000,Cefalexina,,,0.042,USD,3525011089,CPC
ocds-5wno2w-CE-20200001858752-125146,8916-PE-C,2400,Clotrimazol,,,0.3663,USD,3525011129,CPC
ocds-5wno2w-CE-20200001858753-125146,7169-PE-C,600,Ampicilina,,,0.165,USD,3525011049,CPC
ocds-5wno2w-CE-20200001858754-125146,7452-PE-C,800,Bencilpenicilina benzatínica (Penicilina G benzatínica),,,0.33,USD,3525011064,CPC
ocds-5wno2w-CE-20200001858755-125146,7466-PE-C,800,Bencilpenicilina benzatínica (Penicilina G benzatínica),,,0.169,USD,3525011063,CPC
ocds-5wno2w-CE-20200001858756-125146,7440-PE-C,400,Oxitocina,,,0.1589,USD,3525011314,CPC
ocds-5wno2w-CE-20200001858757-125146,13012-PE-C,1200,Butilescopolamina (N-butilbromuro de hioscina),,,0.295,USD,3525015029,CPC
ocds-5wno2w-CE-20200001858758-125146,3475-PE-C,1230,Amoxicilina / Polvo para suspensión / 250 mg/5 ml / 100 ml,,,2.22,USD,35200000300,CPC
ocds-5wno2w-CE-20200001858759-125146,7469-PE-C,400,"Hidrocortisona, succinato sódico",,,0.3478,USD,3525011224,CPC
ocds-5wno2w-CE-20200001858760-125146,10013-PE-C,2000,Risperidona,,,0.0118,USD,3525015260,CPC
ocds-5wno2w-CE-20200001858761-125146,9114-PE-C,10000,"Sales de rehidratación oral: Glucosa, Cloruro de sodio, Cloruro de potasio, Citrato trisódico dihidrato",,,0.28,USD,3525011352,CPC
ocds-5wno2w-CE-20200001858762-125146,8712-PE-C,200,Carbohidratos (Dextrosa en agua),,,0.715,USD,3525011404,CPC
ocds-5wno2w-CE-20200001858763-125146,13064-PE-C,400,Insulina humana NPH (acción intermedia),,,2.67,USD,3525015154,CPC
ocds-5wno2w-CE-20200001858764-125146,8872-PE-C,15000,Levotiroxina sódica,,,0.02,USD,3525011257,CPC
ocds-5wno2w-CE-20200001858765-125146,7447-PE-C,12000,Amoxicilina + Ácido clavulánico,,,0.0799,USD,3525011044,CPC
ocds-5wno2w-CE-20200001858766-125146,7110-PE-C,24000,Enalapril,,,0.002,USD,3525011169,CPC
ocds-5wno2w-CE-20200001858767-125146,13013-PE-C,600,Sulfato de zinc,,,2.28,USD,3525015271,CPC
ocds-5wno2w-CE-20200001858768-432955,11263-PE-C,300,GRAPAS 23/13 CAJA DE 1000 U*,,,0.58,USD,0,No Scheme
ocds-5wno2w-CE-20200001858769-432955,11245-PE-C,30,FLASH MEMORY 16 GB*,,,6.075,USD,0,No Scheme
ocds-5wno2w-CE-20200001858770-432955,11269-PE-C,300,GRAPAS 23/6 CAJA DE 1000 U*,,,0.5,USD,0,No Scheme
ocds-5wno2w-CE-20200001858771-432955,11335-PE-C,50,PARES DE PILAS AA (ALCALINA)*,,,0.88,USD,0,No Scheme
ocds-5wno2w-CE-20200001858772-432955,11155-PE-C,50,APRIETA PAPELES TIPO PINZA 51 MM*,,,1.59,USD,0,No Scheme
ocds-5wno2w-CE-20200001858773-432955,11214-PE-C,10,DISPENSADOR DE CINTA PEQUEÑO*,,,0.88,USD,0,No Scheme
ocds-5wno2w-CE-20200001858774-432955,11199-PE-C,300,CLIPS MARIPOSA CAJA 25 UNIDADES*,,,0.37,USD,0,No Scheme
ocds-5wno2w-CE-20200001858775-432955,11391-PE-C,100,TINTA CORRECTORA TIPO ESFERO*,,,0.205,USD,0,No Scheme
ocds-5wno2w-CE-20200001858776-432955,11152-PE-C,150,APRIETA PAPELES TIPO PINZA 25 MM*,,,0.48,USD,0,No Scheme
ocds-5wno2w-CE-20200001858777-432955,11267-PE-C,100,GRAPAS 23/17 CAJA DE 1000 U*,,,0.88,USD,0,No Scheme
ocds-5wno2w-CE-20200001858778-432955,11177-PE-C,500,CARPETA FOLDER DE CARTULINA KRAFT (VINCHA INCLUIDA)*,,,0.074,USD,0,No Scheme
ocds-5wno2w-CE-20200001858779-432955,11192-PE-C,200,CD S REGRABABLES CON CAJA CD-RW*,,,0.845,USD,0,No Scheme
ocds-5wno2w-CE-20200001858780-432955,11198-PE-C,50,CERA PARA DEDOS/ CREMA CONTAR BILLETES (MEDIANA)*,,,0.5,USD,0,No Scheme
ocds-5wno2w-CE-20200001858781-432955,11217-PE-C,600,ESFEROGRAFICO AZUL PUNTA MEDIA*,,,0.09,USD,0,No Scheme
ocds-5wno2w-CE-20200001858782-432955,11221-PE-C,100,ESFEROGRAFICO ROJO PUNTA MEDIA*,,,0.0948,USD,0,No Scheme
ocds-5wno2w-CE-20200001858783-432955,11298-PE-C,100,CINTA ADHESIVA TRANSPARENTE 18 X 50 YDAS*,,,0.14,USD,0,No Scheme
ocds-5wno2w-CE-20200001858784-432955,11158-PE-C,200,ARCHIVADOR DE CARTON NO. 15 CON TAPA*,,,1.29,USD,0,No Scheme
ocds-5wno2w-CE-20200001858785-432955,11154-PE-C,200,APRIETA PAPELES TIPO PINZA 41 MM*,,,1.1,USD,0,No Scheme
ocds-5wno2w-CE-20200001858786-432955,11153-PE-C,200,APRIETA PAPELES TIPO PINZA 32 MM*,,,0.55,USD,0,No Scheme
ocds-5wno2w-CE-20200001858787-432955,11369-PE-C,500,SEÑALADORES TIPO BANDERITAS*,,,0.214,USD,0,No Scheme
ocds-5wno2w-CE-20200001858788-432955,11233-PE-C,100,ETIQUETAS ADHESIVAS 10 X 5.95 T-11*,,,0.211,USD,0,No Scheme
ocds-5wno2w-CE-20200001858789-432955,11251-PE-C,100,GOMA EN BARRA 21 GR*,,,0.19,USD,0,No Scheme
ocds-5wno2w-CE-20200001858790-432955,11204-PE-C,200,CLIPS STANDAR 43 MM METALICOS*,,,0.38,USD,0,No Scheme
ocds-5wno2w-CE-20200001858791-432955,11194-PE-C,200,DVD-R CON CAJA*,,,0.475,USD,0,No Scheme
ocds-5wno2w-CE-20200001858792-432955,11238-PE-C,100,ETIQUETAS ADHESIVAS 8.6 X 1.50 T-22*,,,0.215,USD,0,No Scheme
ocds-5wno2w-CE-20200001858793-432955,11320-PE-C,1000,RESMA DE PAPEL BOND A4 DE 75 GR*,,,2.645,USD,0,No Scheme
ocds-5wno2w-CE-20200001858794-432955,11297-PE-C,100,MARCADOR TIZA LIQUIDA PUNTA GRUESA VARIOS COLORES*,,,0.52,USD,0,No Scheme
ocds-5wno2w-CE-20200001858795-432955,11162-PE-C,500,ARCHIVADORES TAMANO OFICIO LOMO 8 CMS*,,,0.95,USD,0,No Scheme
ocds-5wno2w-CE-20200001858796-432955,11292-PE-C,100,MARCADOR PERMANENTE NEGRO PUNTA GRUESA*,,,0.54,USD,0,No Scheme
ocds-5wno2w-CE-20200001858797-432955,11246-PE-C,30,FLASH MEMORY 32 GB*,,,8.175,USD,0,No Scheme
ocds-5wno2w-CE-20200001858798-432955,11287-PE-C,50,LAPIZ HB CON GOMA CAJA 12 UNIDADES*,,,1.79,USD,0,No Scheme
ocds-5wno2w-CE-20200001858802-2727,13134-PE-C,20,ZAPATO DE HOMBRE – MUJER DE CUERO TIPO BOTÍN TRABAJO DE CAMPO,,,43.56,USD,293300027,CPC
ocds-5wno2w-CE-20200001858803-71391,7304-PE-C,169,CANASTA FRUTAS FRESCAS,,,19.98,USD,134929123,CPC
ocds-5wno2w-CE-20200001858804-878313,6778-PE-C,30,CAMISETAS TIPO POLO MANGAS CORTAS-ÓRDENES DE COMPRA DE HASTA 660 UNIDADES,,,8.85,USD,881220011,CPC
ocds-5wno2w-CE-20200001858805-44928,7466-PE-C,250,Bencilpenicilina benzatínica (Penicilina G benzatínica),,,0.169,USD,3525011063,CPC
ocds-5wno2w-CE-20200001858806-44928,3475-PE-C,167,Amoxicilina / Polvo para suspensión / 250 mg/5 ml / 100 ml,,,2.22,USD,35200000300,CPC
ocds-5wno2w-CE-20200001858807-44928,8732-PE-C,333,Clindamicina,,,0.088888,USD,3525011108,CPC
ocds-5wno2w-CE-20200001858808-44928,7125-PE-C,25,Salbutamol,,,1.05,USD,3525011350,CPC
ocds-5wno2w-CE-20200001858809-44928,9114-PE-C,417,"Sales de rehidratación oral: Glucosa, Cloruro de sodio, Cloruro de potasio, Citrato trisódico dihidrato",,,0.28,USD,3525011352,CPC
ocds-5wno2w-CE-20200001858810-44928,7472-PE-C,83,Cloruro de sodio,,,0.66,USD,3525011124,CPC
ocds-5wno2w-CE-20200001858811-44928,8712-PE-C,8,Carbohidratos (Dextrosa en agua),,,0.715,USD,3525011404,CPC
ocds-5wno2w-CE-20200001858812-44928,13064-PE-C,25,Insulina humana NPH (acción intermedia),,,2.67,USD,3525015154,CPC
ocds-5wno2w-CE-20200001858813-44928,10106-PE-C,6664,Amoxicilina,,,0.02712,USD,3525015015,CPC
ocds-5wno2w-CE-20200001858814-44928,7447-PE-C,875,Amoxicilina + Ácido clavulánico,,,0.0799,USD,3525011044,CPC
ocds-5wno2w-CE-20200001858834-18362,6155-PE-C,64,SERVICIO DE MANTENIMIENTO RUTINARIO DE LA RED VIAL ESTATAL,,,769.47,USD,943900021,CPC
ocds-5wno2w-CE-20200001858835-71391,7534-PE-C,77,"CANASTA LEGUMBRES, VERDURAS Y HORTALIZAS FRESCAS",,,17.85,USD,123939113,CPC
ocds-5wno2w-CE-20200001858836-66867,6576-PE-C,84,BORDADOS DE ALTA CALIDAD DE HASTA 10 HILOS,,,1.0,USD,881220011,CPC
ocds-5wno2w-CE-20200001858836-66867,7038-PE-C,84,"MANDIL PARA USO MÈDICO, LABORATORIO Y OTROS",,,16.75,USD,881220013,CPC
ocds-5wno2w-CE-20200001858837-66867,6070-PE-C,7,CHALECO DE SEGURIDAD,,,11.48,USD,881220011,CPC
ocds-5wno2w-CE-20200001858838-66867,13430-PE-C,3,BOTÍN DIELÉCTRICO CUERO HIDROFUGADO,,,67.4,USD,295100015,CPC
ocds-5wno2w-CE-20200001858839-66867,13429-PE-C,4,BOTÍN CUERO HIDROFUGADO,,,55.46,USD,295100017,CPC
ocds-5wno2w-CE-20200001858841-66867,12944-PE-C,136,GUANTES DE CAUCHO NO 8 BICOLOR*,,,1.27,USD,0,No Scheme
ocds-5wno2w-CE-20200001858843-2519,12974-PE-C,37,JABÓN LÍQUIDO PARA RECARGAR GALÓN*,,,4.32,USD,0,No Scheme
ocds-5wno2w-CE-20200001858844-2519,12849-PE-C,25,ANTISARRO GALÓN*,,,3.44,USD,0,No Scheme
