,procuringEntity_name,NF003,NF010,NF011,NF016,NF018,NF019,NF026,NF027,NF031,NF042,NF044,NF047,NF059,NF061,NF062,NF063
13,AUTORIDAD AEROPORTUARIA DE GUAYAQUIL FUNDACION DE LA M.I MUNICIPALIDAD DE GUAYAQUIL,0,18,0,0,0,0,0,0,0,0,0,15,0,0,0,0
14,AUTORIDAD PORTUARIA DE GUAYAQUIL,0,1,0,0,0,1,0,1,0,5,0,8,0,0,0,1
15,AUTORIDAD PORTUARIA DE MANTA,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
16,AUTORIDAD PORTUARIA DE PUERTO BOLIVAR,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
17,AUTORIDAD PORTUARIA ESMERALDAS,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
18,Asocacion de Juntas Parroquial Galapagos,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,BANCO CENTRAL DEL ECUADOR ,0,3,1,0,1,1,0,1,0,2,0,3,0,0,0,0
20,BANCO DE DESARROLLO DEL ECUADOR B.P.,1,6,0,0,0,1,1,1,0,2,0,3,0,0,0,0
21,BANCO ECUATORIANO DE LA VIVIENDA EN LIQUIDACION,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,BANECUADOR B.P.,1,6,0,0,0,0,1,0,0,27,0,11,0,0,1,0
23,BASE AEREA MARISCAL SUCRE BAMAS,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
24,BASE NAVAL DE ESMERALDAS,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0
25,BASE NAVAL DE SALINAS,2,1,0,0,0,0,0,1,0,13,0,27,1,1,2,0
26,"BATALLON DE INFANTERIA NRO 20 ""CAPITAN DIAZ""",0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
27,BATALLON DE INFANTERIA No. 21 MACARA,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0
28,"BATALLON DE SELVA Nº62 ""ZAMORA""",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
29,BATALLON MONTUFAR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,BENEMERITO CUERPO DE BOMBEROS DE GUAYAQUIL  ,1,4,0,0,0,0,0,0,0,2,0,8,0,0,0,0
31,BENEMERITO CUERPO DE BOMBEROS DEL CANTON PEDERNALES,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,"BRIGADA DE AVIACION DE LA FUERZA TERRESTRE No. 15 ""PAQUISHA""",0,0,0,0,0,0,0,0,0,9,0,21,0,0,0,0
33,"BRIGADA DE CABALLERIA BLINDADA No. 11 ""GALÁPAGOS""",0,0,0,0,0,0,0,0,0,36,0,23,0,0,0,0
34,BRIGADA DE INFANTERIA N 5 GUAYAS,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0
35,BRIGADA DE INFANTERIA N 7 LOJA,0,0,0,0,0,0,0,0,0,33,0,25,0,0,0,0
36,BRIGADA DE INFANTERIA NO 1 EL ORO,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0
37,BRIGADA DE SELVA N 17 PASTAZA,0,0,0,0,0,0,0,0,0,7,0,31,0,0,0,0
38,Benemérito Cuerpo de Bomberos Voluntarios de Cuenca,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
39,Brigada de Fuerzas Especiales No 9 Patria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,Brigada de Infantería No.13 Pichincha,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0
41,CAPITANIA DEL PUERTO DE ESMERALDAS,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0
42,"CASA DE LA CULTURA ECUATORIANA ""BENJAMIN CARRION"" NUCLEO DE PASTAZA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,CASA DE LA CULTURA ECUATORIANA BENJAMIN CARRION NUCLEO DEL CANAR,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
44,CASA DE LA CULTURA ECUATORIANA BENJAMIN CARRION NUCLEO SUCUMBIOS,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0
45,CASA DE LA CULTURA ECUATORIANA BENJAMIN CARRIÓN NUCLEO DE ZAMORA CHINCHIPE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,CEFAS-PATRONATO DEL GAPMS,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0
47,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA - ZAMORA,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0
48,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL LOJA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
49,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CHIMBACALLE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA COTOCOLLAO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA NORTE-TARQUI,0,0,0,0,0,0,0,0,0,37,0,29,0,0,0,0
52,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SANGOLQUI,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
53,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SUR VALDIVIA,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0
54,CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DÍA CENTRAL QUITO,0,0,0,0,0,0,0,0,0,19,0,17,0,0,0,0
55,CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) EFREN JURADO LOPEZ,0,0,0,0,0,0,0,0,0,6,0,18,0,0,0,0
56,CENTRO DE EDUCACION CONTINUA EPN,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
57,CENTRO DE ESPECIALIDADES -LETAMENDI,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0
58,CENTRO DE ESPECIALIDADES BALZAR,0,0,0,0,0,0,0,0,0,19,0,7,0,0,0,0
59,CENTRO DE ESPECIALIDADES CENTRAL GUAYAS,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
60,CENTRO DE ESPECIALIDADES COMITE DEL PUEBLO,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0
61,CENTRO DE ESPECIALIDADES DAULE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,CENTRO DE ESPECIALIDADES LA ECUATORIANA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,CENTRO DE ESPECIALIDADES NUEVA LOJA,0,0,0,0,0,0,0,0,0,38,0,40,0,0,0,0
64,CENTRO DE ESPECIALIDADES SUR OCCIDENTAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,CENTRO DE SALUD A - CALCETA,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0
66,CENTRO DE SALUD A - EL CARMEN,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0
67,CENTRO DE SALUD A - LOS ESTEROS,0,0,0,0,0,0,0,0,0,20,0,21,0,0,0,0
68,CENTRO DE SALUD A - PAJAN,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0
69,CENTRO DE SALUD A - PARQUE INDUSTRIAL,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
70,CENTRO DE SALUD A AMAGUAÑA,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0
71,CENTRO DE SALUD A-COTACACHI,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
72,CENTRO DE SALUD A-ZUMBA,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0
73,CENTRO DE SALUD B - ALAUSI,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
74,CENTRO DE SALUD B - CARIAMANGA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
75,CENTRO DE SALUD B - SUCÚA,0,0,0,0,0,0,0,0,0,14,0,19,0,0,0,0
76,CENTRO DE SALUD B -HUAQUILLAS,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
77,CENTRO DE SALUD B -PIÑAS,0,0,0,0,0,0,0,0,0,22,0,26,0,0,0,0
78,CENTRO DE SALUD B PORTOVIEJO,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0
79,CENTRO DE SALUD C-MATERNO INFANTIL Y EMERGENCIA-BAHIA DE CARAQUEZ,0,0,0,0,0,0,0,0,0,26,0,35,0,0,0,0
80,"CENTRO MEDICO FAMILIAR INTEGRAL Y ESPECIALIDADES, DIALISIS LA MARISCAL",0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0
81,CENTROCLÍNICO QUIRÚRGICO AMBULATORIO HOSPITAL DEL DÍA - EL TENA,0,0,0,0,0,0,0,0,0,7,0,38,0,0,0,0
82,CNE DELEG.SANTA ELEN,4,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0
83,COMANDANCIA GENERAL DE LA POLICIA NACIONAL,2,0,0,0,0,1,2,0,0,10,0,4,0,0,2,0
84,COMANDO CONJUNTO,4,5,0,0,16,1,10,5,0,15,0,32,0,0,1,0
85,COMANDO DE EDUCACION Y DOCTRINA MILITAR TERRESTRE,0,1,0,0,0,0,0,0,0,15,0,5,0,0,0,0
86,COMANDO DE INTELIGENCIA MILITAR CONJUNTO DE LAS FUERZAS ARMADAS,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0
87,COMANDO LOGÍSTICO NO.25 REINO DE QUITO,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0
88,COMANDO PROVINCIAL DE POLICIA AZUAY Nº 6,1,1,0,0,0,1,0,0,0,4,0,4,0,0,2,0
89,COMANDO PROVINCIAL DE POLICIA CAÑAR No. 15,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
90,COMANDO PROVINCIAL DE POLICIA NAPO No 20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
91,COMANDO PROVINCIAL DE POLICIA PASTAZA No. 16,2,2,0,0,1,1,0,0,0,0,0,2,0,0,2,0
92,COMANDO PROVINCIAL DE POLICIA PICHINCHA  NRO1,5,4,0,0,3,1,1,0,0,1,0,5,0,0,3,0
93,COMANDO PROVINCIAL DE POLICIA SUCUMBIOS N.-21,0,0,0,0,1,1,0,0,0,2,0,3,0,0,1,0
94,COMANDO SUBZONAL DE POLICIA IMBABURA N 10,3,0,0,0,0,1,1,0,0,0,0,6,0,0,3,0
95,COMISION DE TRÁNSITO DEL ECUADOR,2,2,0,0,0,1,1,0,0,0,0,2,0,0,1,0
96,COMPAÑIA DE CONSTRUCCIONES ECUATORIANO COREANA CONECUAKOR C.E.M.,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
97,COMPAÑIA DE ECONOMIA MIXTA AUSTROGAS,4,8,0,0,2,0,0,0,0,1,0,8,0,0,2,1
98,COMPAÑIA DE ECONOMIA MIXTA HOTELERA Y TURISTICA AMBATO,0,3,0,0,0,0,0,0,1,1,0,3,0,0,0,0
99,COMPAÑIA DE ECONOMIA MIXTA MERCADO MAYORISTA DE IBARRA COMERCIBARRA,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0
100,COMPAÑIA NACIONAL DE DANZA,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
101,CONAGOPARE EL ORO,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,CONAGOPARE MORONA SANTIAGO,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
103,CONAGOPARE PICHINCHA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,CONCEJO CANTONAL DE LA NIÑEZ Y ADOLESCENCIA HUACA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,CONFERENCIA PLURINACIONAL E INTERCULTURAL DE SOBERANIA ALIMENTARIA ,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
106,CONSEJO CANTONAL DE PROTECCION DE DERECHO DE LA TRONCAL,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0
107,CONSEJO CANTONAL DE PROTECCION DE DERECHOS DE GRUPOS DE ATENCION PRIORITARIA DEL CANTON CALVAS,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0
108,CONSEJO CANTONAL DE PROTECCION DE DERECHOS DEL CANTON ANTONIO ANTE,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0
109,CONSEJO CANTONAL DE PROTECCION DE DERECHOS DEL CANTON BABAHOYO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
110,CONSEJO CANTONAL DE PROTECCION DE DERECHOS DEL CANTON PALLATANGA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
111,CONSEJO CANTONAL DE PROTECCION DE DERECHOS DEL CANTON SANTA ANA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,CONSEJO CANTONAL DE PROTECCION INTEGRAL DE DERECHOS DE LOJA,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
113,CONSEJO CANTONAL DE PROTECCIÓN DE DERECHOS CUENCA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
114,CONSEJO CANTONAL DE PROTECION DE DERECHOS DE LOS CIUDADANOS DEL CANTON SHUSHUFINDI,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
115,CONSEJO DE GOBIERNO DEL REGIMEN ESPECIAL DE GALAPAGOS,3,2,1,0,0,1,0,1,0,1,0,4,0,1,2,0
116,CONSEJO DE PROTECCION DE DERECHOS DEL DISTRITO METROPOLITANO DE QUITO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,CONSEJO DE PROTECCIÓN INTEGRAL DE DERECHOS CAYAMBE,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
118,CONSEJO NACIONAL DE GOBIERNOS PARROQUIALES RURALES DEL ECUADOR - LOJA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,CONSEJO NACIONAL ELECTORAL - DELEGACIÒN PROVINCIAL IMBABURA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
120,CONSEJO NACIONAL ELECTORAL - DELGACION PROVINCIAL DEL AZUAY,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0
121,"CONSEJO NACIONAL ELECTORAL, DELEGACIÓN PROVINCIAL DE NAPO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122,"CONSEJO NACIONAL ELECTORAL,DELEGACIÓN PROVINCIAL DE BOLIVAR",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
123,CONSEJO NACIONAL PARA LA IGUALDAD DE DISCAPACIDADES,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0
124,CONSEJO NACIONAL PARA LA IGUALDAD DE MOVILIDAD HUMANA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
125,CONSEJO NACIONAL PARA LA IGUALDAD DE PUEBLOS Y NACIONALIDADES,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
126,CONSEJO PROVINCIAL DE MANABÍ,1,13,0,0,1,0,0,0,0,0,0,26,0,0,1,0
127,CONSORCIO DE GOBIERNOS AUTONOMOS PROVINCIALES DEL ECUADOR,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0
128,CONTRALORIA GENERAL DEL ESTADO,1,33,0,0,0,1,2,0,0,32,0,18,0,0,2,0
129,COORDINACION  ZONAL 7 SERVICIO INTEGRADO DE SEGURIDAD ECU 911,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
130,COORDINACION ZONAL - 5 Y 8 SERVICIO INTEGRADO DE SEGURIDAD ECU 911,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,COORDINACION ZONAL 1 - EDUCACION,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0
132,COORDINACION ZONAL 1 - SALUD,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
133,COORDINACION ZONAL 1 DEL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,COORDINACION ZONAL 2 DE LA DIRECCION GENERAL DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
135,COORDINACION ZONAL 3 - INEC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,COORDINACION ZONAL 3 - SALUD,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0
137,"COORDINACION ZONAL 3 DE REGISTRO CIVIL, IDENTIFICACION Y CEDULACION",0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0
138,COORDINACION ZONAL 3 DEL MINISTERIO DE RELACIONES EXTERIORES Y MOVILIDAD HUMANA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
139,COORDINACION ZONAL 3 SERVICIO INTEGRADO DE SEGURIDAD ECU 911,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
140,COORDINACION ZONAL 4 DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
141,COORDINACION ZONAL 5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
142,COORDINACION ZONAL 5 DE GESTION DE RIESGOS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,"COORDINACION ZONAL 5 DEL REGISTRO CIVIL, IDENTIFICACIÓN Y CEDULACIÓN",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,COORDINACION ZONAL 6 - DEPORTE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,COORDINACION ZONAL 6 - SALUD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
146,COORDINACION ZONAL 6 - SENESCYT,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0
147,COORDINACION ZONAL 6 DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
148,COORDINACION ZONAL 6 SERVICIO INTEGRADO DE SEGURIDAD ECU 911,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0
149,"COORDINACION ZONAL 7 DE REGISTRO CIVIL, IDENTIFICACION Y CEDULACION",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
150,COORDINACION ZONAL 7-SALUD,0,1,0,0,0,0,0,0,0,10,0,16,0,0,0,0
151,COORDINACION ZONAL 8  - INEC,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,COORDINACION ZONAL 9 DE LA DIRECCION GENERAL DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,COORDINACION ZONAL 9 SALUD,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
154,"COORDINACION ZONAL 9-ARCSA, DOCTOR LEOPOLDO IZQUIETA PEREZ",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
155,"COORDINACION ZONAL DE EDUCACION, ZONA 3",0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0
156,COORDINACIONZONAL4-SECOB,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0
157,COORDINACIÓN ZONAL 3-DEPORTE,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
158,COORDINACIÓN ZONAL 8 - SALUD,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
159,CORPORACION DE PROMOCION ECONOMICA CONQUITO,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
160,CORPORACION ELECTRICA DEL ECUADOR CELEC EP,4,8,1,0,2,1,2,10,0,8,1,22,0,0,5,4
161,CORPORACION ELECTRICA DEL ECUADOR CELEC EP.,2,4,1,0,1,1,2,5,0,10,1,55,0,3,2,2
162,CORPORACION FINANCIERA NACIONAL B.P.,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
163,CORPORACION NACIONAL DE TELECOMUNICACIONES,0,5,0,0,0,0,0,0,0,4,0,9,0,0,0,0
164,CORPORACION PARA LA SEGURIDAD CIUDADANA DE GUAYAQUIL,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
165,CORPORACIÓN NACIONAL DE FINANZAS POPULARES Y SOLIDARIAS,1,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0
166,CUERPO DE BOMBEROS DE ECHEANDIA,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0
167,CUERPO DE BOMBEROS DE EL CHACO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,CUERPO DE BOMBEROS DE LOJA,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
169,CUERPO DE BOMBEROS DE MARCELINO MARIDUEÑA,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
170,CUERPO DE BOMBEROS DE PIMAMPIRO,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
171,CUERPO DE BOMBEROS DE RIOBAMBA,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
172,CUERPO DE BOMBEROS DE SALINAS,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173,CUERPO DE BOMBEROS DE SAMBORONDON,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,CUERPO DE BOMBEROS DE SAN MIGUEL DE LOS BANCOS,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0
175,CUERPO DE BOMBEROS DE SANTA ELENA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
176,CUERPO DE BOMBEROS DE SHUSHUFINDI,1,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0
177,CUERPO DE BOMBEROS DEL CANTON BUENA FE,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0
178,CUERPO DE BOMBEROS DEL CANTON CHILLANES,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
179,CUERPO DE BOMBEROS DEL CANTON EL PANGUI,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
180,CUERPO DE BOMBEROS DEL CANTON LA MANA,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0
181,CUERPO DE BOMBEROS DEL CANTON LAGO AGRIO,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
182,CUERPO DE BOMBEROS DEL CANTON MONTUFAR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,CUERPO DE BOMBEROS DEL CANTON PONCE ENRIQUEZ,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
184,CUERPO DE BOMBEROS DEL CANTON SALCEDO,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
185,CUERPO DE BOMBEROS DEL CANTÓN CASCALES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
186,CUERPO DE BOMBEROS DEL CANTÓN OTAVALO,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
187,CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO,0,0,0,0,0,0,0,0,0,13,0,16,0,0,0,0
188,CUERPO DE BOMBEROS DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SANTO DOMINGO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
189,CUERPO DE BOMBEROS DEL GOBIERNO MUNICIPAL DEL CANTON MORONA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,CUERPO DE BOMBEROS MUNICIPAL DEL CANTON SANTA ROSA,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0
191,CUERPO DE BOMBEROS SANTIAGO DE PILLARO,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
192,CUERPO DE INGENIEROS DEL EJERCITO,0,0,0,0,0,0,0,0,0,15,0,18,0,0,0,0
193,CUERPO DE INGENIEROS DEL EJERCITO  ,2,0,1,0,2,1,3,2,1,12,0,22,0,0,2,0
194,Casa de la Cultura Núcleo de Esmeraldas,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
195,Centro Interamericano de Artesanías y Artes Populares CIDAP,4,6,0,0,1,1,0,0,0,1,0,4,0,0,3,0
196,Centro Médico Asdrubal de la Torre,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
197,Centro de Rehabilitacion Integral Especializado Azogues,0,0,0,0,0,0,0,0,0,41,0,24,0,0,0,0
198,Comando Cantonal de Policía Manta,1,1,0,0,1,1,1,0,0,1,0,3,0,0,3,0
199,Comando Provincial Policía Tungurahua Nro. 9,3,0,0,0,0,1,0,0,0,0,0,2,0,1,3,0
200,Comando Provincial de Policìa Manabì No. 4,0,1,0,0,3,1,0,0,0,1,0,4,0,1,4,0
201,Concentración Deportiva de Pichincha,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
202,Consejo Nacional de Salud,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
203,Consejo de Seguridad Ciudadana del Cantón Cuenca,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
204,Consejo de la Judicatura,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0
205,Consorcio de Municipios Amazónicos y Galápagos,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
