procuringEntity_name,Sector,NF003,NF010,NF016,NF018,NF026,NF027,NF031,NF042,NF044,NF047,NF059,NF061,NF062,NF063,RF cases,Total cases,Total RF,Relacion contratos,Densidad RF
BANCO ECUATORIANO DE LA VIVIENDA EN LIQUIDACION,Financiero,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
BANECUADOR B.P.,Financiero,1,0,0,0,1,0,0,27,0,11,0,0,1,0,31,99,41,0.31313131313131315,1.3225806451612903
BASE AEREA MARISCAL SUCRE BAMAS,Defensa Nacional,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,19,14,0.7368421052631579,1.0
BASE NAVAL DE ESMERALDAS,Defensa Nacional,0,0,0,0,0,0,0,1,0,10,0,0,0,0,11,52,11,0.21153846153846154,1.0
BASE NAVAL DE SALINAS,Defensa Nacional,2,0,0,0,0,1,0,13,0,27,1,1,2,0,40,203,47,0.19704433497536947,1.175
"BATALLON DE INFANTERIA NRO 20 ""CAPITAN DIAZ""",Defensa Nacional,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,35,4,0.11428571428571428,1.0
BATALLON DE INFANTERIA NO. 21 MACARA,Defensa Nacional,0,0,0,0,0,0,0,12,0,3,0,0,0,0,15,24,15,0.625,1.0
"BATALLON DE SELVA Nº62 ""ZAMORA""",Defensa Nacional,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
BATALLON MONTUFAR,Defensa Nacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
BENEMERITO CUERPO DE BOMBEROS DE GUAYAQUIL  ,Cuerpo de Bomberos,1,0,0,0,0,0,0,2,0,8,0,0,0,0,9,10,11,0.9,1.2222222222222223
BENEMERITO CUERPO DE BOMBEROS DEL CANTON PEDERNALES,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
"BRIGADA DE AVIACION DE LA FUERZA TERRESTRE NO. 15 ""PAQUISHA""",Defensa Nacional,0,0,0,0,0,0,0,9,0,21,0,0,0,0,24,73,30,0.3287671232876712,1.25
"BRIGADA DE CABALLERIA BLINDADA NO. 11 ""GALÁPAGOS""",Defensa Nacional,0,0,0,0,0,0,0,36,0,23,0,0,0,0,55,104,59,0.5288461538461539,1.0727272727272728
BRIGADA DE INFANTERIA N 5 GUAYAS,Defensa Nacional,0,0,0,0,0,0,0,7,0,8,0,0,0,0,13,50,15,0.26,1.1538461538461537
BRIGADA DE INFANTERIA N 7 LOJA,Defensa Nacional,0,0,0,0,0,0,0,33,0,25,0,0,0,0,55,113,58,0.48672566371681414,1.0545454545454545
BRIGADA DE INFANTERIA NO 1 EL ORO,Defensa Nacional,0,0,0,0,0,0,0,3,0,10,0,0,0,0,12,14,13,0.8571428571428571,1.0833333333333333
BRIGADA DE SELVA N 17 PASTAZA,Defensa Nacional,0,0,0,0,0,0,0,7,0,31,0,0,0,0,35,73,38,0.4794520547945205,1.0857142857142856
BENEMÉRITO CUERPO DE BOMBEROS VOLUNTARIOS DE CUENCA,Cuerpo de Bomberos,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
BRIGADA DE FUERZAS ESPECIALES NO 9 PATRIA,Defensa Nacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
BRIGADA DE INFANTERÍA NO.13 PICHINCHA,Defensa Nacional,0,0,0,0,0,0,0,8,0,16,0,0,0,0,20,30,24,0.6666666666666666,1.2
CAPITANIA DEL PUERTO DE ESMERALDAS,Defensa Nacional,0,0,0,0,0,0,0,12,0,4,0,0,0,0,15,42,16,0.35714285714285715,1.0666666666666667
"CASA DE LA CULTURA ECUATORIANA ""BENJAMIN CARRION"" NUCLEO DE PASTAZA",Cultural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0.25,1.0
CASA DE LA CULTURA ECUATORIANA BENJAMIN CARRION NUCLEO DEL CANAR,Cultural,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,5,6,0.6,2.0
CASA DE LA CULTURA ECUATORIANA BENJAMIN CARRION NUCLEO SUCUMBIOS,Cultural,0,0,0,0,0,0,0,2,0,9,0,0,0,0,10,19,11,0.5263157894736842,1.1
CASA DE LA CULTURA ECUATORIANA BENJAMIN CARRIÓN NUCLEO DE ZAMORA CHINCHIPE,Cultural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CEFAS-PATRONATO DEL GAPMS,Gobierno Parroquial,0,0,0,0,0,0,0,2,0,4,0,0,0,0,5,15,6,0.3333333333333333,1.2
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA - ZAMORA,Salud,0,0,0,0,0,0,0,4,0,10,0,0,0,0,10,10,14,1.0,1.4
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CENTRAL LOJA,Salud,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA CHIMBACALLE,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA COTOCOLLAO,Salud,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1.0,1.0
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA NORTE-TARQUI,Salud,0,0,0,0,0,0,0,37,0,29,0,0,0,0,56,69,66,0.8115942028985508,1.1785714285714286
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SANGOLQUI,Salud,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,1.0,1.0
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA SUR VALDIVIA,Salud,0,0,0,0,0,0,0,10,0,14,0,0,0,0,18,24,24,0.75,1.3333333333333333
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DÍA CENTRAL QUITO,Salud,0,0,0,0,0,0,0,19,0,17,0,0,0,0,33,60,36,0.55,1.0909090909090908
CENTRO CLÍNICO QUIRÚRGICO AMBULATORIO (HOSPITAL DEL DÍA) EFREN JURADO LOPEZ,Salud,0,0,0,0,0,0,0,6,0,18,0,0,0,0,20,24,24,0.8333333333333334,1.2
CENTRO DE EDUCACION CONTINUA EPN,Educacion,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,9,8,0.8888888888888888,1.0
CENTRO DE ESPECIALIDADES -LETAMENDI,Salud,0,0,0,0,0,0,0,3,0,6,0,0,0,0,6,6,9,1.0,1.5
CENTRO DE ESPECIALIDADES BALZAR,Salud,0,0,0,0,0,0,0,19,0,7,0,0,0,0,23,25,26,0.92,1.1304347826086956
CENTRO DE ESPECIALIDADES CENTRAL GUAYAS,Salud,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,1.0,1.0
CENTRO DE ESPECIALIDADES COMITE DEL PUEBLO,Salud,0,0,0,0,0,0,0,2,0,12,0,0,0,0,12,12,14,1.0,1.1666666666666667
CENTRO DE ESPECIALIDADES DAULE,Salud,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1.0,1.0
CENTRO DE ESPECIALIDADES LA ECUATORIANA,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0.5,1.0
CENTRO DE ESPECIALIDADES NUEVA LOJA,Salud,0,0,0,0,0,0,0,38,0,40,0,0,0,0,63,73,78,0.863013698630137,1.2380952380952381
CENTRO DE ESPECIALIDADES SUR OCCIDENTAL,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CENTRO DE SALUD A - CALCETA,Salud,0,0,0,0,0,0,0,6,0,7,0,0,0,0,10,11,13,0.9090909090909091,1.3
CENTRO DE SALUD A - EL CARMEN,Salud,0,0,0,0,0,0,0,2,0,6,0,0,0,0,7,9,8,0.7777777777777778,1.1428571428571428
CENTRO DE SALUD A - LOS ESTEROS,Salud,0,0,0,0,0,0,0,20,0,21,0,0,0,0,30,36,41,0.8333333333333334,1.3666666666666667
CENTRO DE SALUD A - PAJAN,Salud,0,0,0,0,0,0,0,9,0,5,0,0,0,0,12,30,14,0.4,1.1666666666666667
CENTRO DE SALUD A - PARQUE INDUSTRIAL,Salud,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,1.0,1.0
CENTRO DE SALUD A AMAGUAÑA,Salud,0,0,0,0,0,0,0,12,0,4,0,0,0,0,12,23,16,0.5217391304347826,1.3333333333333333
CENTRO DE SALUD A-COTACACHI,Salud,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,2,0.6666666666666666,1.0
CENTRO DE SALUD A-ZUMBA,Salud,0,0,0,0,0,0,0,4,0,7,0,0,0,0,7,10,11,0.7,1.5714285714285714
CENTRO DE SALUD B - ALAUSI,Salud,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5,6,5,0.8333333333333334,1.0
CENTRO DE SALUD B - CARIAMANGA,Salud,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,0.75,1.0
CENTRO DE SALUD B - SUCÚA,Salud,0,0,0,0,0,0,0,14,0,19,0,0,0,0,26,31,33,0.8387096774193549,1.2692307692307692
CENTRO DE SALUD B -HUAQUILLAS,Salud,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5,5,5,1.0,1.0
CENTRO DE SALUD B -PIÑAS,Salud,0,0,0,0,0,0,0,22,0,26,0,0,0,0,39,44,48,0.8863636363636364,1.2307692307692308
CENTRO DE SALUD B PORTOVIEJO,Salud,0,0,0,0,0,0,0,6,0,5,0,0,0,0,11,12,11,0.9166666666666666,1.0
CENTRO DE SALUD C-MATERNO INFANTIL Y EMERGENCIA-BAHIA DE CARAQUEZ,Salud,0,0,0,0,0,0,0,26,0,35,0,0,0,0,54,61,61,0.8852459016393442,1.1296296296296295
"CENTRO MEDICO FAMILIAR INTEGRAL Y ESPECIALIDADES, DIALISIS LA MARISCAL",Salud,0,0,0,0,0,0,0,5,0,2,0,0,0,0,5,6,7,0.8333333333333334,1.4
CENTROCLÍNICO QUIRÚRGICO AMBULATORIO HOSPITAL DEL DÍA - EL TENA,Salud,0,0,0,0,0,0,0,7,0,38,0,0,0,0,40,57,45,0.7017543859649122,1.125
CNE DELEG.SANTA ELEN,Electoral,4,0,0,0,0,0,0,0,0,5,0,0,0,0,6,6,9,1.0,1.5
COMANDANCIA GENERAL DE LA POLICIA NACIONAL,Seguridad,2,0,0,0,2,0,0,10,0,4,0,0,2,0,11,27,20,0.4074074074074074,1.8181818181818181
COMANDO CONJUNTO,Defensa Nacional,4,0,0,16,10,5,0,15,0,32,0,0,1,0,42,49,83,0.8571428571428571,1.9761904761904763
COMANDO DE EDUCACION Y DOCTRINA MILITAR TERRESTRE,Defensa Nacional,0,0,0,0,0,0,0,15,0,5,0,0,0,0,18,20,20,0.9,1.1111111111111112
COMANDO DE INTELIGENCIA MILITAR CONJUNTO DE LAS FUERZAS ARMADAS,Defensa Nacional,0,0,0,0,0,0,0,6,0,4,0,0,0,0,6,12,10,0.5,1.6666666666666667
COMANDO LOGÍSTICO NO.25 REINO DE QUITO,Defensa Nacional,0,0,0,0,0,0,0,2,0,8,0,0,0,0,9,11,10,0.8181818181818182,1.1111111111111112
COMANDO PROVINCIAL DE POLICIA AZUAY Nº 6,Defensa Nacional,1,0,0,0,0,0,0,4,0,4,0,0,2,0,5,8,11,0.625,2.2
COMANDO PROVINCIAL DE POLICIA CAÑAR NO. 15,Defensa Nacional,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,5,4,0.4,2.0
COMANDO PROVINCIAL DE POLICIA NAPO NO 20,Defensa Nacional,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,3,0.5,1.0
COMANDO PROVINCIAL DE POLICIA PASTAZA NO. 16,Defensa Nacional,2,0,0,1,0,0,0,0,0,2,0,0,2,0,2,2,7,1.0,3.5
COMANDO PROVINCIAL DE POLICIA PICHINCHA  NRO1,Defensa Nacional,5,0,0,3,1,0,0,1,0,5,0,0,3,0,5,5,18,1.0,3.6
COMANDO PROVINCIAL DE POLICIA SUCUMBIOS N.-21,Defensa Nacional,0,0,0,1,0,0,0,2,0,3,0,0,1,0,4,8,7,0.5,1.75
COMANDO SUBZONAL DE POLICIA IMBABURA N 10,Defensa Nacional,3,0,0,0,1,0,0,0,0,6,0,0,3,0,7,8,13,0.875,1.8571428571428572
COMISION DE TRÁNSITO DEL ECUADOR,Transporte,2,0,0,0,1,0,0,0,0,2,0,0,1,0,3,3,6,1.0,2.0
COMPAÑIA DE CONSTRUCCIONES ECUATORIANO COREANA CONECUAKOR C.E.M.,Construccion,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1.0,2.0
COMPAÑIA DE ECONOMIA MIXTA AUSTROGAS,Comercio,4,0,0,2,0,0,0,1,0,8,0,0,2,1,9,11,17,0.8181818181818182,1.8888888888888888
COMPAÑIA DE ECONOMIA MIXTA HOTELERA Y TURISTICA AMBATO,Turismo,0,0,0,0,0,0,1,1,0,3,0,0,0,0,3,3,5,1.0,1.6666666666666667
COMPAÑIA DE ECONOMIA MIXTA MERCADO MAYORISTA DE IBARRA COMERCIBARRA,Comercio,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,3,1.0,1.5
COMPAÑIA NACIONAL DE DANZA,Cultural,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,9,6,0.6666666666666666,1.0
CONAGOPARE EL ORO,Construccion,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CONAGOPARE MORONA SANTIAGO,Construccion,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,9,4,0.3333333333333333,1.3333333333333333
CONCEJO CANTONAL DE LA NIÑEZ Y ADOLESCENCIA HUACA,Bienestar Social,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,1,0.09090909090909091,1.0
CONFERENCIA PLURINACIONAL E INTERCULTURAL DE SOBERANIA ALIMENTARIA ,Bienestar Social,0,0,0,0,0,0,0,1,0,5,0,0,0,0,5,5,6,1.0,1.2
CONSEJO CANTONAL DE PROTECCION DE DERECHO DE LA TRONCAL,Bienestar Social,0,0,0,0,0,0,0,14,0,6,0,0,0,0,20,43,20,0.46511627906976744,1.0
CONSEJO CANTONAL DE PROTECCION DE DERECHOS DE GRUPOS DE ATENCION PRIORITARIA DEL CANTON CALVAS,Bienestar Social,0,0,0,0,0,0,0,11,0,4,0,0,0,0,15,37,15,0.40540540540540543,1.0
CONSEJO CANTONAL DE PROTECCION DE DERECHOS DEL CANTON ANTONIO ANTE,Bienestar Social,0,0,0,0,0,0,0,3,0,7,0,0,0,0,8,11,10,0.7272727272727273,1.25
CONSEJO CANTONAL DE PROTECCION DE DERECHOS DEL CANTON BABAHOYO,Bienestar Social,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,8,2,0.125,2.0
CONSEJO CANTONAL DE PROTECCION DE DERECHOS DEL CANTON PALLATANGA,Bienestar Social,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,14,2,0.07142857142857142,2.0
CONSEJO CANTONAL DE PROTECCION DE DERECHOS DEL CANTON SANTA ANA,Bienestar Social,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CONSEJO CANTONAL DE PROTECCION INTEGRAL DE DERECHOS DE LOJA,Bienestar Social,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,26,9,0.34615384615384615,1.0
CONSEJO CANTONAL DE PROTECCIÓN DE DERECHOS CUENCA,Bienestar Social,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CONSEJO CANTONAL DE PROTECION DE DERECHOS DE LOS CIUDADANOS DEL CANTON SHUSHUFINDI,Bienestar Social,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,19,2,0.10526315789473684,1.0
CONSEJO DE GOBIERNO DEL REGIMEN ESPECIAL DE GALAPAGOS,Legislativo,3,0,0,0,0,1,0,1,0,4,0,1,2,0,4,4,12,1.0,3.0
CONSEJO DE PROTECCIÓN INTEGRAL DE DERECHOS CAYAMBE,Bienestar Social,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CONSEJO NACIONAL DE GOBIERNOS PARROQUIALES RURALES DEL ECUADOR - LOJA,Gobierno Parroquial,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CONSEJO NACIONAL ELECTORAL - DELEGACIÒN PROVINCIAL IMBABURA,Electoral,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1.0,2.0
CONSEJO NACIONAL ELECTORAL - DELGACION PROVINCIAL DEL AZUAY,Electoral,0,0,0,0,0,0,0,1,0,8,0,0,0,0,8,8,9,1.0,1.125
"CONSEJO NACIONAL ELECTORAL, DELEGACIÓN PROVINCIAL DE NAPO",Electoral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,1,0.16666666666666666,1.0
"CONSEJO NACIONAL ELECTORAL,DELEGACIÓN PROVINCIAL DE BOLIVAR",Electoral,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,3,1.0,3.0
CONSEJO NACIONAL PARA LA IGUALDAD DE DISCAPACIDADES,Bienestar Social,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,14,10,0.7142857142857143,1.0
CONSEJO NACIONAL PARA LA IGUALDAD DE MOVILIDAD HUMANA,Bienestar Social,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
CONSEJO NACIONAL PARA LA IGUALDAD DE PUEBLOS Y NACIONALIDADES,Bienestar Social,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,9,5,0.5555555555555556,1.0
CONSEJO PROVINCIAL DE MANABÍ,Administrativo,1,0,0,1,0,0,0,0,0,26,0,0,1,0,26,36,29,0.7222222222222222,1.1153846153846154
CONSORCIO DE GOBIERNOS AUTONOMOS PROVINCIALES DEL ECUADOR,Administrativo,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,10,8,0.8,1.0
CONTRALORIA GENERAL DEL ESTADO,Jurisdiccional,1,0,0,0,2,0,0,32,0,18,0,0,2,0,46,109,55,0.42201834862385323,1.1956521739130435
COORDINACION  ZONAL 7 SERVICIO INTEGRADO DE SEGURIDAD ECU 911,Seguridad,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
COORDINACION ZONAL - 5 Y 8 SERVICIO INTEGRADO DE SEGURIDAD ECU 911,Seguridad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,1,0.07692307692307693,1.0
COORDINACION ZONAL 1 - EDUCACION,Educacion,0,0,0,0,0,0,0,0,0,46,0,0,0,0,46,46,46,1.0,1.0
COORDINACION ZONAL 1 - SALUD,Salud,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,4,3,0.5,1.5
COORDINACION ZONAL 1 DEL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL,Bienestar Social,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
COORDINACION ZONAL 2 DE LA DIRECCION GENERAL DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,Administrativo,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,1.0,1.0
COORDINACION ZONAL 3 - INEC,Administrativo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
COORDINACION ZONAL 3 - SALUD,Salud,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,1.0,1.0
"COORDINACION ZONAL 3 DE REGISTRO CIVIL, IDENTIFICACION Y CEDULACION",Administrativo,0,0,0,0,0,0,0,2,0,4,0,0,0,0,4,4,6,1.0,1.5
COORDINACION ZONAL 3 DEL MINISTERIO DE RELACIONES EXTERIORES Y MOVILIDAD HUMANA,Relacion Exterior,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
COORDINACION ZONAL 3 SERVICIO INTEGRADO DE SEGURIDAD ECU 911,Seguridad,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,16,7,0.4375,1.0
COORDINACION ZONAL 4 DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,Administrativo,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,1.0,1.0
COORDINACION ZONAL 5,Administrativo,1,0,0,0,0,0,0,0,0,2,0,0,1,0,3,3,4,1.0,1.3333333333333333
COORDINACION ZONAL 5 DE GESTION DE RIESGOS,Administrativo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
"COORDINACION ZONAL 5 DEL REGISTRO CIVIL, IDENTIFICACIÓN Y CEDULACIÓN",Administrativo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
COORDINACION ZONAL 6 - DEPORTE,Deporte,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
COORDINACION ZONAL 6 - SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
COORDINACION ZONAL 6 - SENESCYT,Educacion,0,0,0,0,0,0,0,16,0,4,0,0,0,0,19,38,20,0.5,1.0526315789473684
COORDINACION ZONAL 6 DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,Administrativo,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
COORDINACION ZONAL 6 SERVICIO INTEGRADO DE SEGURIDAD ECU 911,Seguridad,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,8,7,0.625,1.4
"COORDINACION ZONAL 7 DE REGISTRO CIVIL, IDENTIFICACION Y CEDULACION",Administrativo,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
COORDINACION ZONAL 7-SALUD,Seguridad,0,0,0,0,0,0,0,10,0,16,0,0,0,0,22,27,26,0.8148148148148148,1.1818181818181819
COORDINACION ZONAL 8  - INEC,Administrativo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
COORDINACION ZONAL 9 DE LA DIRECCION GENERAL DE REGISTRO CIVIL IDENTIFICACION Y CEDULACION,Administrativo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
COORDINACION ZONAL 9 SALUD,Salud,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.0,1.0
"COORDINACION ZONAL 9-ARCSA, DOCTOR LEOPOLDO IZQUIETA PEREZ",Salud,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,9,3,0.3333333333333333,1.0
"COORDINACION ZONAL DE EDUCACION, ZONA 3",Educacion,0,0,0,0,0,0,0,5,0,11,0,0,0,0,13,25,16,0.52,1.2307692307692308
COORDINACIONZONAL4-SECOB,Construccion,0,0,0,0,0,0,0,13,0,10,0,0,0,0,18,50,23,0.36,1.2777777777777777
COORDINACIÓN ZONAL 3-DEPORTE,Deporte,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,1.0,1.0
COORDINACIÓN ZONAL 8 - SALUD,Salud,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,11,5,0.45454545454545453,1.0
CORPORACION DE PROMOCION ECONOMICA CONQUITO,Administrativo,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,2,0.6666666666666666,1.0
CORPORACION ELECTRICA DEL ECUADOR CELEC EP,Electrico,4,0,0,2,2,10,0,8,1,22,0,0,5,4,24,26,54,0.9230769230769231,2.25
CORPORACION ELECTRICA DEL ECUADOR CELEC EP.,Electrico,2,0,0,1,2,5,0,10,1,55,0,3,2,2,60,63,81,0.9523809523809523,1.35
